candidate_rank,source_file,pareto_rank,row_i,col_j,schema,solenoid_length_m,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m,piece_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
0,thickness_grids_L10000mm.csv,113,39,151,2,10.0,2500,10,1.1384321608040202,1.2314321608040202,0.093,40.715913674279975,1,6.569965031345051,40.715913674279975,1.9606876531750324,57.77508766532366,2686.5415764375493,2686.541577839855,4477.569296399759,103.213145037608,11.737009515248666,58.18237521941162,235.00249119101952,728.5866036541178,21855.231680764813,0.9714488048721572,0.3225457207316186,0.010752688172043,0.3117930325595756,0.0215053763328607,0.021505376344086,0.6882069674404244,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10746.166305750196,1074.6166305750198,1074.616631135942,1.0000000005219742,372257.4171384189,396.9409255016213,396.9409255016213,6.874620977012699,6.874620977012699,1.0,10746.166305750196,6.874620977012699,396.9409255016213,85.28263741682763,85.28263741682763,2.5000000000000004e+16,0.6774542792683814,0.010752688172043,0.6667015910963384,31.001623985979727,42028.540039580344,32.0,0,1,1,mechanical,372.2574171384189,148.90296685536757,14.890296685536756,-0.03931234682496765,0.03931234682496765,2,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,112,39,150,2,10.0,2500,10,1.1308994974874371,1.223899497487437,0.093,40.178886328365174,1,6.571699616881264,40.178886328365174,2.0472496049565194,57.77086647853892,2686.345291252059,2686.3452933390163,4477.242155565027,103.51357360229304,11.775141233806956,58.45469817268653,233.60623076013457,714.6972937864135,21725.379460692508,0.9529297250485514,0.3268603824179968,0.010752688172043,0.3161076942459538,0.021505376327379,0.021505376344086,0.6838923057540461,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10745.381165008235,1074.5381165008237,1074.5381173356066,1.000000000776876,369890.9611646847,391.9008455215793,391.9008455215793,6.788323724281829,6.788323724281829,1.0,10745.381165008235,6.788323724281829,391.9008455215793,85.82300754494095,85.82300754494095,2.5000000000000004e+16,0.6731396175820031,0.010752688172043,0.6623869294099601,30.800992217563135,41495.38748279771,32.0,0,1,1,mechanical,369.89096116468465,147.95638446587387,14.795638446587388,0.04724960495651942,0.04724960495651942,2,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,114,39,152,2,10.0,2500,10,1.145964824120603,1.238964824120603,0.093,41.25650616341551,1,6.568220959177124,41.25650616341551,1.878345259294205,57.77933263291115,2686.738967430367,2686.738967551388,4477.898279252313,102.91555166840736,11.69920199300944,57.91247335397071,236.3982696086355,742.8698396604981,21985.03907360309,0.9904931195473308,0.3182230008377683,0.010752688172043,0.3074703126657253,0.0215053763431173,0.021505376344086,0.6925296873342747,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10746.955869721469,1074.6955869721469,1074.6955870205552,1.0000000000450435,374623.8731121531,402.0227112598,402.0227112598,6.961609406138086,6.961609406138086,1.0,10746.955869721469,6.961609406138086,402.0227112598,84.74814008672989,84.74814008672989,2.5000000000000004e+16,0.6817769991622317,0.010752688172043,0.6710243109901887,31.202630461043764,42565.59896479581,32.0,0,1,1,mechanical,374.6238731121531,149.84954924486124,14.984954924486123,-0.12165474070579507,0.12165474070579507,2,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,111,39,149,2,10.0,2500,10,1.1233668341708545,1.2163668341708542,0.093,39.64542412567109,1,6.573424689148851,39.64542412567109,2.138278495467691,57.766669134855405,2686.1501147707754,2686.1501165386294,4476.916860897716,103.8168810700868,11.813602193046831,58.72951557899804,232.2094884300157,701.1837295043777,21595.48242399145,0.9349116393391704,0.3311678218690982,0.010752688172043,0.3204151336970552,0.0215053763299325,0.021505376344086,0.6795848663029448,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10744.600459083103,1074.4600459083103,1074.4600466154518,1.0000000006581369,367524.5051909504,386.9013237171269,386.9013237171269,6.702698272611788,6.702698272611788,1.0,10744.600459083103,6.702698272611788,386.9013237171269,86.36945264249754,86.36945264249754,2.5e+16,0.6688321781309018,0.010752688172043,0.6580794899588588,30.60069628308693,40966.080556927445,32.0,0,1,1,mechanical,367.5245051909504,147.00980207638017,14.700980207638016,0.138278495467691,0.138278495467691,2,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,115,39,153,2,10.0,2500,10,1.153497487437186,1.246497487437186,0.093,41.80066379577176,1,6.5507082698162975,41.80066379577176,1.817373949995648,57.64492388334975,2680.488960575762,2688.722774154394,4481.204623590656,102.62075069937944,11.66171372906179,57.644923918288406,236.65355286064928,749.999998104787,22008.780416040372,0.9999999974730494,0.3155380712782148,0.010752688172043,0.3047853831061718,0.0214395193277146,0.021505376344086,0.6952146168938281,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10721.95584230305,1072.195584230305,1075.4891096617575,1.0030717580634478,376990.3290858873,405.1953852539702,405.1953852539702,7.049307535639081,7.049307535639081,1.0,10721.95584230305,7.049307535639081,405.1953852539702,84.21932829923813,84.21932829923813,2.5000000000000004e+16,0.6844619287217851,0.010752688172043,0.6737092405497421,31.327479685563,43003.16891363507,32.0,0,1,1,mechanical,376.9903290858873,150.7961316343549,15.079613163435493,-0.18262605000435195,0.18262605000435195,2,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,116,40,153,2,10.0,2500,10,1.153497487437186,1.249497487437186,0.096,41.80066379577176,1,6.56611326401779,41.80066379577176,1.8003786517510656,55.97869898150432,2686.9775511122098,2686.97755364334,4478.2959227389,100.87934257858558,11.8328078612456,57.13821085599987,230.94171047611965,690.2157281265693,22170.404205707506,0.9202876375020924,0.3345935206416658,0.0104166666666666,0.3241768539749992,0.0208333333137083,0.0208333333333333,0.6758231460250008,20.0,20.0,2.0,50000.0,5000.0,10.0,4.800000000000004,48.00000000000004,10747.91020444884,1074.791020444884,1074.791021457336,1.000000000941999,377461.5679839258,408.0529454027249,408.0529454027249,7.064776935849955,7.064776935849955,1.0,10747.91020444884,7.064776935849955,408.0529454027249,84.12707227540945,84.12707227540945,2.5000000000000004e+16,0.6654064793583342,0.0104166666666666,0.6549898126916676,31.439511009200068,43208.48145572231,32.0,0,1,1,mechanical,377.4615679839258,150.98462719357033,15.098462719357032,-0.1996213482489344,0.1996213482489344,2,0.25,pareto,closest
6,thickness_grids_L10000mm.csv,117,39,154,2,10.0,2500,10,1.1610301507537688,1.2540301507537688,0.093,42.348386571348755,1,6.518329417588174,42.348386571348755,1.7750332024034263,57.379662619321394,2668.154311798444,2692.399065887128,4487.331776478547,102.32870022318396,11.624539888872391,57.379662637743586,235.820919588408,749.9999989933915,21931.345521721934,0.9999999986578554,0.3144278932065517,0.010752688172043,0.3036752050345087,0.0213117228223428,0.021505376344086,0.6963247949654913,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10672.617247193775,1067.2617247193775,1076.9596263548513,1.009086713606284,379356.7850596215,406.51088236406264,406.51088236406264,7.137733072289897,7.137733072289897,1.0,10672.617247193775,7.137733072289897,406.51088236406264,83.69602854424319,83.69602854424319,2.5000000000000004e+16,0.6855721067934483,0.010752688172043,0.6748194186214053,31.379102965895335,43343.297578028505,32.0,0,1,1,mechanical,379.3567850596215,151.7427140238486,15.17427140238486,-0.22496679759657368,0.22496679759657368,2,0.25,pareto,closest
7,thickness_grids_L10000mm.csv,110,39,148,2,10.0,2500,10,1.1158341708542714,1.2088341708542714,0.093,39.11552706619776,1,6.575140218881815,39.11552706619776,2.234038047198859,57.76249567233616,2685.9560487636304,2685.9560502270124,4476.593417045021,104.12311208608044,11.85239754660063,59.00690585887069,230.81226417297336,688.0287141203213,21465.54056808651,0.9173716188270952,0.3354689411009223,0.010752688172043,0.3247162529288793,0.0215053763323693,0.021505376344086,0.6752837470711207,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10743.824195054522,1074.3824195054522,1074.382420090805,1.0000000005448273,365158.0492172162,381.9411617760985,381.9411617760985,6.617724359608342,6.617724359608342,1.0,10743.824195054522,6.617724359608342,381.9411617760985,86.92219106813567,86.92219106813567,2.4999999999999996e+16,0.6645310588990777,0.010752688172043,0.6537783707270347,30.400694238807105,40440.55582407851,32.0,0,1,1,mechanical,365.1580492172162,146.06321968688647,14.606321968688649,0.234038047198859,0.234038047198859,2,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,89,19,192,2,10.0,2500,10,1.4472713567839195,1.4822713567839194,0.035,65.8036231698364,1,3.692917983190649,65.8036231698364,3.9648788705885054,87.49268336944746,3062.2439179306543,3062.2439180626225,5103.739863437704,154.44514673701835,6.518868068010605,90.0312088921394,240.68897913214084,671.5167401115568,16848.22853924982,0.8953556534820758,0.3584258809276385,0.0142857142857143,0.3441401666419241,0.0285714285701973,0.0285714285714286,0.6558598333580758,10.0,10.0,1.0,25000.0,2500.0,10.0,3.499999999999992,34.99999999999992,12248.975671722616,1224.8975671722617,1224.897567225049,1.0000000000430953,230085.74668305577,201.69250162910265,201.69250162910265,2.6885629169663203,2.6885629169663203,1.0,12248.975671722616,2.6885629169663203,201.69250162910265,136.37190274438018,136.37190274438018,2.4999999999999996e+16,0.6415741190723615,0.0142857142857143,0.6272884047866472,21.9550941675326,18517.08403641619,32.0,0,1,1,mechanical,230.08574668305576,92.03429867322232,9.20342986732223,-0.03512112941149459,0.03512112941149459,4,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,88,19,191,2,10.0,2500,10,1.4397386934673368,1.4747386934673368,0.035,65.12042495187163,1,3.694185506481222,65.12042495187163,4.099608412545676,87.48722366885909,3062.052828410061,3062.0528311280336,5103.42138521339,154.81324448511947,6.537055583715272,90.39106536813811,239.5158775291872,661.5004109070442,16766.111427043066,0.8820005478760589,0.3620797108814565,0.0142857142857143,0.3477939965957421,0.0285714285460677,0.0285714285714286,0.6522060034042578,10.0,10.0,1.0,25000.0,2500.0,10.0,3.499999999999992,34.99999999999992,12248.211313640246,1224.8211313640245,1224.8211324512135,1.0000000008876309,228902.51869618864,199.40172468185125,199.40172468185125,2.658358601368818,2.658358601368818,1.0,12248.211313640246,2.658358601368818,199.40172468185125,137.14444447243707,137.14444447243707,2.5e+16,0.6379202891185435,0.0142857142857143,0.6236345748328291,21.827210119148972,18316.944600128292,32.0,0,1,1,mechanical,228.90251869618868,91.56100747847546,9.156100747847546,0.09960841254567576,0.09960841254567576,4,0.25,pareto,closest
