target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,schema,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,pancake_length_m,piece_length_m,search_pool,pick_rule,note
2,0.25,outside_window,2.0,502.6548245743669,11.12607811670391,9.12607811670391,9.12607811670391,0,thickness_grids_L2000mm.csv,178,198,199,2,500,10,1.5,2.5,1.0,14.137166941154067,1,10.278138541776524,14.137166941154067,18.076602224811175,2259.575278101397,2328.031952495052,3880.05325415842,27.535854555988948,15.656555611109544,18.07660223387414,323.21964450189347,749.9999987514503,80804.91112547336,0.9999999983352672,0.4309595267199571,0.004,0.426959526719957,0.0077647569250231,0.008,0.5730404732800429,78.0,80.0,8.0,40000.0,4000.0,10.0,12.5,125.0,9038.301112405588,903.8301112405586,931.2127809980208,1.0302962574679857,502654.8245743669,2023.794126442345,2023.794126442345,49.547610530393854,49.547610530393854,1.0,9038.301112405588,49.547610530393854,2023.794126442345,31.76681286062951,31.76681286062952,2.5000000000000004e+16,0.5690404732800429,0.004,0.5650404732800429,70.63005916000536,128141.86079398802,32.0,0,1,1,mechanical,1005.3096491487338,100.53096491487338,pareto,closest,no design within +/-0.25 yr; nearest is 11.126 yr at 502.7 km
2,0.25,in_window,3.0,621.5485958856946,1.9992195982658625,-0.0007804017341375147,0.0007804017341375147,27,thickness_grids_L3000mm.csv,231,183,191,2,750,10,1.4397386934673368,2.328738693467337,0.889,19.53612748556149,1,12.056505722466454,19.53612748556149,17.247172893455073,2190.3909574687937,2190.5575759373837,3650.9292932289727,27.565082500185344,19.26916236978524,17.24717289369774,293.61517935777056,749.9999999624922,74578.2555568737,0.9999999999499896,0.3914869058299391,0.0039370078740157,0.3875498979559234,0.0078734168336454,0.0078740157480314,0.6124501020440766,70.0,70.0,7.0,52500.0,5250.0,10.0,12.7,127.0,8761.563829875176,876.1563829875176,876.2230303749535,1.000076067912909,621548.5958856946,2388.951259355159,2388.951259355159,62.24063664876544,62.24063664876544,1.0,8761.563829875176,62.24063664876544,2388.951259355159,28.3431417642346,28.3431417642346,2.5e+16,0.6085130941700608,0.0039370078740157,0.6045760862960451,76.78116295959772,172153.85000021022,32.0,0,1,1,mechanical,828.7314611809261,82.87314611809262,pareto,closest,
2,0.25,in_window,4.0,405.45931541753595,2.0008025679040613,0.0008025679040613021,0.0008025679040613021,15,thickness_grids_L4000mm.csv,176,94,192,2,1000,10,1.4472713567839195,1.7792713567839196,0.332,26.32144926793456,1,9.402487359941087,26.32144926793456,28.951380015453953,2402.9645412826785,2402.9645413691073,4004.9409022818454,48.67784722791187,15.80901646226442,29.185765044687155,265.2998940335651,727.5910674768511,44039.782409571824,0.970121423302468,0.3646277502465433,0.0060240963855421,0.3586036538610012,0.0120481927706509,0.0120481927710843,0.6413963461389989,40.0,40.0,4.0,40000.0,4000.0,10.0,8.300000000000002,83.00000000000001,9611.858165130714,961.1858165130714,961.185816547643,1.0000000000359677,405459.3154175359,1112.4299215473527,1112.4299215473527,24.081744823399653,24.081744823399653,1.0,9611.858165130714,24.081744823399653,1112.4299215473527,45.566012721971966,45.566012721971966,2.5000000000000004e+16,0.6353722497534566,0.0060240963855421,0.6293481533679145,52.23589672953691,76634.02193982225,32.0,0,1,1,mechanical,405.45931541753595,40.5459315417536,pareto,closest,
2,0.25,in_window,5.0,355.9286341161864,2.0232042085444606,0.02320420854446059,0.02320420854446059,12,thickness_grids_L5000mm.csv,151,67,187,2,1250,10,1.409608040201005,1.611608040201005,0.202,31.211641756109895,1,8.135074623849153,31.211641756109895,37.44563954526285,2521.3397293810312,2521.339730694293,4202.232884490489,63.95111095178647,13.893394963704251,37.64746839388942,257.138781424329,734.55490087519,34628.02256514296,0.9794065345002534,0.3500606709150798,0.0074257425742574,0.3426349283408224,0.0148514851407793,0.0148514851485148,0.6573650716591776,30.0,30.0,3.0,37500.0,3750.0,10.0,6.733333333333332,67.33333333333331,10085.358917524123,1008.5358917524125,1008.5358922777172,1.000000000520859,355928.6341161864,766.0654155277017,766.0654155277017,15.06305753717506,15.06305753717506,1.0,10085.358917524123,15.06305753717506,766.0654155277017,57.61405391174636,57.61405391174637,2.500000000000001e+16,0.6499393290849201,0.0074257425742574,0.6425135865106627,43.262581491717945,55825.65938699176,32.0,0,1,1,mechanical,284.74290729294916,28.47429072929491,pareto,closest,
2,0.25,in_window,6.0,379.9850246558508,2.0066492339252493,0.006649233925249298,0.006649233925249298,11,thickness_grids_L6000mm.csv,140,63,166,2,1500,10,1.251422110552764,1.436422110552764,0.185,29.519484629693835,1,8.539389186951954,29.519484629693835,40.252009755529286,2482.2072682576395,2482.2072682881594,4137.012113813599,69.33773590253372,14.7098720240296,40.36850358304464,252.75344810767007,741.5045216074224,31172.925266612645,0.9886726954765632,0.3408656869141606,0.0081081081081081,0.3327575788060525,0.0162162162160168,0.0162162162162162,0.6672424211939474,30.0,30.0,3.0,45000.0,4500.0,10.0,6.166666666666669,61.666666666666686,9928.82907303056,992.882907303056,992.8829073152638,1.0000000000122953,379985.0246558508,660.8589560429965,660.8589560429965,13.40734259881276,13.40734259881276,1.0,9928.82907303056,13.40734259881276,660.8589560429965,61.067993209279706,61.067993209279706,2.5e+16,0.6591343130858394,0.0081081081081081,0.6510262049777312,40.146615973626766,55355.25765652906,32.0,0,1,1,mechanical,253.3233497705672,25.33233497705672,pareto,closest,
2,0.25,in_window,7.0,318.00140160052416,1.9864938028637669,-0.013506197136233133,0.013506197136233133,10,thickness_grids_L7000mm.csv,128,42,185,2,1750,10,1.3945427135678392,1.4975427135678392,0.103,42.7672725562028,1,6.285703384953838,42.7672725562028,52.545629332621445,2706.0999106300037,2719.139112425916,4531.89852070986,90.76464857085158,10.857604447830957,52.54562935153229,251.36279584355972,749.9999989247093,25890.367971886644,0.9999999985662792,0.3351503949385918,0.0097087378640776,0.3254416570745141,0.0193243622926456,0.0194174757281553,0.6745583429254859,20.0,20.0,2.0,35000.0,3500.0,10.0,5.1499999999999995,51.49999999999999,10824.399642520017,1082.4399642520016,1087.6556449703664,1.0048184480346392,318001.40160052414,468.9443196889443,468.9443196889443,8.004673803004362,8.004673803004362,1.0,10824.399642520017,8.004673803004362,468.9443196889443,79.03385808248787,79.03385808248787,2.5e+16,0.6648496050614082,0.0097087378640776,0.6551408671973306,33.73975466066251,39023.631261614755,32.0,0,1,1,mechanical,181.71508662887095,18.171508662887096,pareto,closest,
2,0.25,in_window,8.0,334.6557104545005,2.027487649421637,0.027487649421637173,0.027487649421637173,8,thickness_grids_L8000mm.csv,122,41,170,2,2000,10,1.2815527638190956,1.3815527638190956,0.1,41.2774483668801,1,6.441223849016688,41.2774483668801,54.023963341141965,2701.1981670571004,2701.1981676290725,4501.996946048454,94.96371095072512,11.322429565272396,55.0848187747382,242.72739362585347,694.995564315608,24272.73936258537,0.9266607524208108,0.3492502773954788,0.0099999999999999,0.3392502773954788,0.019999999995765,0.0199999999999999,0.6607497226045211,20.0,20.0,2.0,40000.0,4000.0,10.0,5.000000000000004,50.00000000000004,10804.792668228403,1080.4792668228404,1080.479267051629,1.0000000002117473,334655.71045450045,423.47520146986216,423.47520146986216,7.254794308472981,7.254794308472981,1.0,10804.792668228403,7.254794308472981,423.47520146986216,83.01803514401779,83.01803514401779,2.5000000000000004e+16,0.6507497226045211,0.0099999999999999,0.6407497226045211,32.037486130226085,39025.6582457343,32.0,0,1,1,mechanical,167.32785522725024,16.732785522725024,pareto,closest,
2,0.25,in_window,9.0,354.1999688118243,2.0294035353927047,0.029403535392704683,0.029403535392704683,8,thickness_grids_L9000mm.csv,115,39,160,2,2250,10,1.2062261306532664,1.2992261306532664,0.093,41.138632109201474,1,6.457806185688491,41.138632109201474,57.35957684075662,2667.220323095182,2699.300512329847,4498.834187216412,100.92512067943512,11.362616401868426,57.35957686580542,242.25602455071987,749.9999986584969,22529.810283216942,0.9999999982113292,0.3230080333120482,0.010752688172043,0.3122553451400052,0.021249792892177,0.021505376344086,0.6877446548599948,20.0,20.0,2.0,45000.0,4500.0,10.0,4.649999999999999,46.499999999999986,10668.881292380727,1066.888129238073,1079.720204931939,1.0120275737841702,354199.9688118243,396.39934454812186,396.39934454812186,6.9650647384944495,6.9650647384944495,1.0,10668.881292380727,6.9650647384944495,396.39934454812186,84.72711592336451,84.72711592336451,2.5e+16,0.6769919666879518,0.010752688172043,0.6662392785159088,30.98012645098975,39962.531148764145,32.0,0,1,1,mechanical,157.4222083608108,15.74222083608108,pareto,closest,
2,0.25,in_window,10.0,372.2574171384189,1.9606876531750324,-0.03931234682496765,0.03931234682496765,8,thickness_grids_L10000mm.csv,113,39,151,2,2500,10,1.1384321608040202,1.2314321608040202,0.093,40.715913674279975,1,6.569965031345051,40.715913674279975,57.77508766532366,2686.5415764375493,2686.541577839855,4477.569296399759,103.213145037608,11.737009515248666,58.18237521941162,235.00249119101952,728.5866036541178,21855.231680764813,0.9714488048721572,0.3225457207316186,0.010752688172043,0.3117930325595756,0.0215053763328607,0.021505376344086,0.6882069674404244,20.0,20.0,2.0,50000.0,5000.0,10.0,4.649999999999999,46.499999999999986,10746.166305750196,1074.6166305750198,1074.616631135942,1.0000000005219742,372257.4171384189,396.9409255016213,396.9409255016213,6.874620977012699,6.874620977012699,1.0,10746.166305750196,6.874620977012699,396.9409255016213,85.28263741682763,85.28263741682763,2.5000000000000004e+16,0.6774542792683814,0.010752688172043,0.6667015910963384,31.001623985979727,42028.540039580344,32.0,0,1,1,mechanical,148.90296685536757,14.890296685536756,pareto,closest,
4,0.25,outside_window,2.0,502.6548245743669,11.12607811670391,7.12607811670391,7.12607811670391,0,thickness_grids_L2000mm.csv,178,198,199,2,500,10,1.5,2.5,1.0,14.137166941154067,1,10.278138541776524,14.137166941154067,18.076602224811175,2259.575278101397,2328.031952495052,3880.05325415842,27.535854555988948,15.656555611109544,18.07660223387414,323.21964450189347,749.9999987514503,80804.91112547336,0.9999999983352672,0.4309595267199571,0.004,0.426959526719957,0.0077647569250231,0.008,0.5730404732800429,78.0,80.0,8.0,40000.0,4000.0,10.0,12.5,125.0,9038.301112405588,903.8301112405586,931.2127809980208,1.0302962574679857,502654.8245743669,2023.794126442345,2023.794126442345,49.547610530393854,49.547610530393854,1.0,9038.301112405588,49.547610530393854,2023.794126442345,31.76681286062951,31.76681286062952,2.5000000000000004e+16,0.5690404732800429,0.004,0.5650404732800429,70.63005916000536,128141.86079398802,32.0,0,1,1,mechanical,1005.3096491487338,100.53096491487338,pareto,closest,no design within +/-0.25 yr; nearest is 11.126 yr at 502.7 km
