name,category,ri_mm,v_m3,b0
CAPP-12TB,Axion (built),160.0,0.021,12.0
ORGAN,Axion (built),,4.8e-05,11.5
HAYSTAC,Axion (built),73.0,0.009,9.4
CAL (Berkeley),Axion (built),72.0,0.007,9.0
Florida Cosmic Axion,Axion (built),85.0,0.008,8.6
QUAX-a/g,Axion (built),75.0,0.009,8.1
ADMX (main),Axion (built),300.0,0.283,7.6
RBF,Axion (built),100.0,0.011,6.0
LBC9 (NHMFL) 48.7T,REBCO (built),7.0,1e-05,48.7
LBC3 (NHMFL) 45.5T,REBCO (built),7.0,8e-06,45.5
LBC4-5 (NHMFL) 44T,REBCO (built),7.0,8e-06,44.0
LBC6 (NHMFL) 43T,REBCO (built),7.0,8e-06,43.0
LBC2 (NHMFL) 42.5T,REBCO (built),7.0,8e-06,42.5
LBC1 (NHMFL) 40.2T,REBCO (built),7.0,8e-06,40.2
NOUGAT 32.5T,REBCO (built),19.0,0.00024,32.5
ASIPP 32.4T,REBCO (built),8.5,4e-05,32.4
IEE CAS 32.35T,REBCO (built),20.0,0.0002,32.35
NHMFL 32T all-SC,REBCO (built),21.5,0.0002,32.0
RIKEN 31.4T,REBCO (built),8.5,5e-05,31.4
IEE CAS 30.1T,REBCO (built),21.5,0.0002,30.1
ASIPP 26.86T,REBCO (built),15.0,0.00015,26.86
MIT / SuNAM 26.4T,REBCO (built),17.5,0.0003,26.4
MIT 25T (2022),REBCO (built),11.2,0.00015,25.0
SuNAM / MIT 24.1T,REBCO (built),8.5,5e-05,24.1
Bruker 28.2T NMR,MRI / NMR,27.0,,28.19
Iseult 11.7T MRI,MRI / NMR,450.0,,11.7
Siemens 7T MRI,MRI / NMR,340.0,0.835,7.0
Clinical 3T MRI,MRI / NMR,300.0,0.452,3.0
ITER Central Solenoid,Fusion,2060.0,158.25,13.5
CMS (LHC),HEP detector,2950.0,341.75,4.0
ATLAS (LHC),HEP detector,1230.0,27.57,2.0
Belle II,HEP detector,1700.0,35.74,1.5
BaBar (PEP-II),HEP detector,1400.0,21.63,1.5
sPHENIX (RHIC),HEP detector,700.0,1.69,1.4
BESIII (BEPC-II),HEP detector,640.0,4.53,1.0
KLOE (DAFNE),HEP detector,2450.0,92.4,0.6
ALICE (LHC),HEP detector,5780.0,740.99,0.5
STAR (RHIC),HEP detector,2500.0,134.5,0.5
