candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,valid,b0,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
0,thickness_grids_L10000mm.csv,44,65,97,10.0,1.4697171717171718,1.6863942454851546,0.2166770737679828,67.86055534552604,67.86055534552604,1,4.573010444940085,1.5217423403364736,17.61251154008692,1957.039724210699,1957.0397242123197,3261.7328736871996,58.163499464982586,15.101894466456072,17.708484904030648,68.77059596507351,701.1920204988913,0.9349226939985218,0.0980766950487312,0.0089995677257781,0.0089995677257855,0.9064230888141616,13.0,32500.0,16.667467212921757,1174.2238345264195,1174.2238345273918,1.000000000000828,322244.5343712952,361.57502040728184,361.57502040728184,524.4772226094352,524.4772226094352,4.0,4696.895338105678,131.1193056523588,90.39375510182046,19.527726407999328,19.527726407999328,2.5e+16,0.9019233049512688,0.0044997838628927,0.897423521088376,14.957777113845305,173617.21256709023,43.0,0,1,1,mechanical,322.2445343712952,128.89781374851808,0.021742340336473598,0.021742340336473598,1.5,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,45,65,98,10.0,1.484858585858586,1.7015356596265687,0.2166770737679828,69.26599253423487,69.26599253423487,1,4.550002754253107,1.4501995025362844,17.539189940464595,1948.892488492672,1959.1503119591105,3265.2505199318507,57.927228966536134,15.027435830198211,17.539189940471058,68.75666735741126,746.2499999967451,0.9949999999956604,0.0921362376652745,0.0089524473101432,0.0089995677257855,0.9123635461976184,13.0,32500.0,16.667467212921757,1169.3354930956032,1175.4901871754662,1.0052634116694514,325336.464474351,366.353685193203,366.353685193203,535.8611798147049,535.8611798147049,4.0,4677.341972382413,133.96529495367622,91.58842129830074,19.31918716015231,19.31918716015231,2.5e+16,0.9078637623347254,0.0044997838628927,0.9033639784718328,15.056789492513827,176437.55654477852,43.0,0,1,1,mechanical,325.33646447435103,130.1345857897404,-0.04980049746371562,0.04980049746371562,1.5,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,46,66,98,10.0,1.484858585858586,1.7081919191919193,0.2233333333333333,69.26599253423487,69.26599253423487,1,4.568989367415972,1.426243901431635,17.090803241251884,1957.408234468165,1957.4082344699084,3262.3470574498474,56.94279944188938,15.222868201590476,17.459798582945776,67.56294683789794,594.6117125841901,0.7928156167789202,0.1136253212104896,0.0087313432835743,0.008731343283582,0.8907403504313014,13.0,32500.0,17.179487179487182,1174.4449406808988,1174.444940681945,1.0000000000008908,326016.080299255,371.0009793150026,371.0009793150026,537.9472960753759,537.9472960753759,4.0,4697.779762723595,134.48682401884398,92.75024482875064,19.28169164826794,19.28169164826794,2.4999999999999996e+16,0.8863746787895104,0.004365671641791,0.8820090071477193,15.152462430486462,177924.0105033704,43.0,1,1,1,packing,326.01608029925495,130.40643211970198,-0.07375609856836496,0.07375609856836496,1.5,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,47,65,99,10.0,1.5,1.7166770737679828,0.2166770737679828,70.68583470577035,70.68583470577035,1,4.502773101258794,1.4131221626464172,17.372393488471886,1930.3586591938704,1963.4985442816928,3272.4975738028215,57.694216901232146,14.953838579206035,17.372393488474184,68.00111172023456,746.2499999988206,0.9949999999984276,0.0911237677994533,0.0088476732203675,0.0089995677257855,0.9133760160634397,13.0,32500.0,16.667467212921757,1158.2151955163222,1178.0991265690157,1.0171677345709744,328428.39457740675,367.1712723955089,367.1712723955089,547.4193860172915,547.4193860172915,4.0,4632.860782065289,136.85484650432286,91.79281809887722,19.114146539414183,19.114146539414183,2.5000000000000004e+16,0.9088762322005468,0.0044997838628927,0.904376448337654,15.073664800806476,178313.01951304186,43.0,0,1,1,mechanical,328.4283945774068,131.3713578309627,-0.08687783735358279,0.08687783735358279,1.5,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,43,65,96,10.0,1.4545757575757576,1.6712528313437405,0.2166770737679828,66.4695231396439,66.4695231396439,1,4.576270799263122,1.6258701423938742,17.609823526980918,1956.741041741951,1956.741041742876,3261.23506957146,58.40310196490692,15.177233871702038,17.88030928172296,68.18666381951972,631.9228368317557,0.842563782442341,0.1079034651784136,0.0089995677257813,0.0089995677257855,0.8965963186844792,13.0,32500.0,16.667467212921757,1174.0446250451705,1174.0446250457255,1.0000000000004727,319152.6042682395,353.7389696543016,353.7389696543016,513.2674140223296,513.2674140223296,4.0,4696.178500180682,128.3168535055824,88.4347424135754,19.739818326390843,19.739818326390843,2.5e+16,0.8920965348215864,0.0044997838628927,0.8875967509586936,14.793989744899903,170077.8885092242,43.0,1,1,1,packing,319.15260426823954,127.6610417072958,0.12587014239387417,0.12587014239387417,1.5,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,48,66,99,10.0,1.5,1.7233333333333334,0.2233333333333333,70.68583470577035,70.68583470577035,1,4.565676810842938,1.3368395819048111,17.093454883301888,1957.711926805516,1957.7119268068056,3262.8532113446763,56.714865290264136,15.148590326160038,17.294509777168106,68.12823749227866,655.1214713290208,0.8734952951053612,0.1039932905176644,0.0087313432835763,0.008731343283582,0.9003723811241265,13.0,32500.0,17.179487179487182,1174.6271560833095,1174.6271560840833,1.0000000000006588,329108.0104023108,379.1079549991133,379.1079549991133,549.531787508406,549.531787508406,4.0,4698.508624333238,137.3829468771015,94.77698874977833,19.07737375446392,19.07737375446392,2.4999999999999996e+16,0.8960067094823355,0.004365671641791,0.8916410378405445,15.31793577828628,181563.2347018056,43.0,1,1,1,packing,329.1080104023108,131.6432041609243,-0.16316041809518889,0.16316041809518889,1.5,0.25,pareto,closest
6,thickness_grids_L10000mm.csv,49,69,96,10.0,1.4545757575757576,1.6984876033057852,0.2439118457300275,66.4695231396439,66.4695231396439,1,4.826164453529504,1.314390018676979,16.51084651357469,1917.7100227100923,1934.1415220557856,3223.5692034263097,54.588019354361705,15.95622358793053,16.510846513580812,68.61282011842945,746.2499999967133,0.9949999999956178,0.091943477546039,0.008536524512449,0.0086096679466907,0.9123613564273064,14.0,35000.0,17.422274695001967,1150.6260136260553,1160.4849132334714,1.0085682919477432,346697.4241797009,400.4566048560586,400.4566048560586,604.9466551868427,604.9466551868427,4.0,4602.504054504221,151.23666379671067,100.11415121401468,18.182619809783706,18.182619809783706,2.5000000000000004e+16,0.908056522453961,0.0043048339733453,0.9037516884806156,15.745410172781131,196578.65315628488,43.0,0,1,1,mechanical,346.6974241797009,138.67896967188037,-0.18560998132302098,0.18560998132302098,1.5,0.25,pareto,closest
7,thickness_grids_L10000mm.csv,42,64,96,10.0,1.4545757575757576,1.6646981940618306,0.2101224364860728,66.4695231396439,66.4695231396439,1,4.527530645729117,1.6970206393923597,17.96234009810054,1935.5336750791655,1961.216589112791,3268.6943151879855,59.42738469055591,14.979078667510445,17.96234009810643,68.51944828751516,746.2499999970818,0.994999999996109,0.0918183561645334,0.0091587743025497,0.0092803035820938,0.9128217956265134,13.0,32500.0,16.163264345082535,1161.3202050474993,1176.7299534676747,1.0132691641402598,318483.36425745615,344.765319941521,344.765319941521,511.2691697751031,511.2691697751031,4.0,4645.280820189997,127.81729244377576,86.19132998538025,19.778356257280553,19.778356257280553,2.5e+16,0.9081816438354664,0.0046401517910469,0.9035414920444196,14.604179982664242,167554.67457503904,43.0,0,1,1,mechanical,318.4833642574562,127.39334570298246,0.1970206393923597,0.1970206393923597,1.5,0.25,pareto,closest
8,thickness_grids_L10000mm.csv,50,70,96,10.0,1.4545757575757576,1.7055503520048976,0.2509745944291399,66.4695231396439,66.4695231396439,1,4.859119772609965,1.2790935303132935,16.15911706701148,1931.203739155333,1931.2037391570116,3218.672898595019,53.69893100649236,16.147512041629298,16.436350931514383,67.91492688797197,620.5859492099198,0.8274479322798931,0.1094367782165158,0.0083673807891781,0.0083673807891854,0.8947469121780768,14.0,35000.0,17.92675674493857,1158.7222434931998,1158.7222434942069,1.000000000000869,347474.0139596558,407.8053745022315,407.8053745022315,607.4691854093777,607.4691854093777,4.0,4634.888973972799,151.86729635234445,101.95134362555788,18.14482865646581,18.14482865646581,2.5000000000000004e+16,0.8905632217834841,0.0041836903945927,0.8863795313888914,15.889910242901296,198818.50937469825,43.0,1,1,1,packing,347.4740139596558,138.9896055838623,-0.22090646968670646,0.22090646968670646,1.5,0.25,pareto,closest
9,thickness_grids_L10000mm.csv,41,61,99,10.0,1.5,1.6910682583409855,0.1910682583409856,70.68583470577035,70.68583470577035,1,4.2764870909439425,1.736805949736377,18.696625182574472,1984.628672493733,1984.6286724943009,3307.7144541571683,61.91531665946631,14.161916914967788,18.906659364485797,68.38982775141926,658.9682963126826,0.8786243950835768,0.1037831837041338,0.0094207170548817,0.0094207170548844,0.9009271748233084,12.0,30000.0,15.922354861748811,1190.7772034962395,1190.7772034965806,1.0000000000002864,300751.0979252285,325.80725998697216,325.80725998697216,459.54678224431103,459.54678224431103,4.0,4763.108813984958,114.88669556107776,81.45181499674304,20.861721006138986,20.861721006138986,2.4999999999999996e+16,0.8962168162958661,0.0047103585274422,0.8915064577684239,14.194882182129524,153813.90917004176,43.0,1,1,1,packing,300.75109792522846,120.3004391700914,0.23680594973637703,0.23680594973637703,1.5,0.25,pareto,closest
