L_m,Ri_mm,Th_mm
1.000,10.000,2.000
1.000,10.000,2.500
1.000,10.000,3.500
1.000,10.000,4.500
1.000,10.000,5.500
1.000,10.000,7.000
1.000,10.000,9.000
1.000,10.000,11.500
1.000,10.000,15.000
1.000,10.000,19.500
1.000,10.000,25.000
1.000,10.000,32.000
1.000,10.000,41.500
1.000,10.000,53.000
1.000,10.000,68.500
1.000,10.000,88.000
1.000,10.000,113.500
1.000,10.000,146.000
1.000,10.000,187.500
1.000,10.000,241.500
1.000,10.000,311.000
1.000,10.000,400.000
1.000,12.000,2.000
1.000,12.000,2.500
1.000,12.000,3.500
1.000,12.000,4.500
1.000,12.000,5.500
1.000,12.000,7.000
1.000,12.000,9.000
1.000,12.000,11.500
1.000,12.000,15.000
1.000,12.000,19.500
1.000,12.000,25.000
1.000,12.000,32.000
1.000,12.000,41.500
1.000,12.000,53.000
1.000,12.000,68.500
1.000,12.000,88.000
1.000,12.000,113.500
1.000,12.000,146.000
1.000,12.000,187.500
1.000,12.000,241.500
1.000,12.000,311.000
1.000,12.000,400.000
1.000,14.000,2.000
1.000,14.000,2.500
1.000,14.000,3.500
1.000,14.000,4.500
1.000,14.000,5.500
1.000,14.000,7.000
1.000,14.000,9.000
1.000,14.000,11.500
1.000,14.000,15.000
1.000,14.000,19.500
1.000,14.000,25.000
1.000,14.000,32.000
1.000,14.000,41.500
1.000,14.000,53.000
1.000,14.000,68.500
1.000,14.000,88.000
1.000,14.000,113.500
1.000,14.000,146.000
1.000,14.000,187.500
1.000,14.000,241.500
1.000,14.000,311.000
1.000,14.000,400.000
1.000,16.000,2.000
1.000,16.000,2.500
1.000,16.000,3.500
1.000,16.000,4.500
1.000,16.000,5.500
1.000,16.000,7.000
1.000,16.000,9.000
1.000,16.000,11.500
1.000,16.000,15.000
1.000,16.000,19.500
1.000,16.000,25.000
1.000,16.000,32.000
1.000,16.000,41.500
1.000,16.000,53.000
1.000,16.000,68.500
1.000,16.000,88.000
1.000,16.000,113.500
1.000,16.000,146.000
1.000,16.000,187.500
1.000,16.000,241.500
1.000,16.000,311.000
1.000,16.000,400.000
1.000,19.000,2.000
1.000,19.000,2.500
1.000,19.000,3.500
1.000,19.000,4.500
1.000,19.000,5.500
1.000,19.000,7.000
1.000,19.000,9.000
1.000,19.000,11.500
1.000,19.000,15.000
1.000,19.000,19.500
1.000,19.000,25.000
1.000,19.000,32.000
1.000,19.000,41.500
1.000,19.000,53.000
1.000,19.000,68.500
1.000,19.000,88.000
1.000,19.000,113.500
1.000,19.000,146.000
1.000,19.000,187.500
1.000,19.000,241.500
1.000,19.000,311.000
1.000,19.000,400.000
1.000,22.000,2.000
1.000,22.000,2.500
1.000,22.000,3.500
1.000,22.000,4.500
1.000,22.000,5.500
1.000,22.000,7.000
1.000,22.000,9.000
1.000,22.000,11.500
1.000,22.000,15.000
1.000,22.000,19.500
1.000,22.000,25.000
1.000,22.000,32.000
1.000,22.000,41.500
1.000,22.000,53.000
1.000,22.000,68.500
1.000,22.000,88.000
1.000,22.000,113.500
1.000,22.000,146.000
1.000,22.000,187.500
1.000,22.000,241.500
1.000,22.000,311.000
1.000,22.000,400.000
1.000,26.000,2.000
1.000,26.000,2.500
1.000,26.000,3.500
1.000,26.000,4.500
1.000,26.000,5.500
1.000,26.000,7.000
1.000,26.000,9.000
1.000,26.000,11.500
1.000,26.000,15.000
1.000,26.000,19.500
1.000,26.000,25.000
1.000,26.000,32.000
1.000,26.000,41.500
1.000,26.000,53.000
1.000,26.000,68.500
1.000,26.000,88.000
1.000,26.000,113.500
1.000,26.000,146.000
1.000,26.000,187.500
1.000,26.000,241.500
1.000,26.000,311.000
1.000,26.000,400.000
1.000,31.000,2.000
1.000,31.000,2.500
1.000,31.000,3.500
1.000,31.000,4.500
1.000,31.000,5.500
1.000,31.000,7.000
1.000,31.000,9.000
1.000,31.000,11.500
1.000,31.000,15.000
1.000,31.000,19.500
1.000,31.000,25.000
1.000,31.000,32.000
1.000,31.000,41.500
1.000,31.000,53.000
1.000,31.000,68.500
1.000,31.000,88.000
1.000,31.000,113.500
1.000,31.000,146.000
1.000,31.000,187.500
1.000,31.000,241.500
1.000,31.000,311.000
1.000,31.000,400.000
1.000,36.000,2.000
1.000,36.000,2.500
1.000,36.000,3.500
1.000,36.000,4.500
