L_m,Ri_mm,Th_mm
1.000,10.000,2.000
1.000,10.000,3.000
1.000,10.000,5.500
1.000,10.000,10.000
1.000,10.000,16.500
1.000,10.000,24.500
1.000,10.000,34.500
1.000,10.000,46.000
1.000,10.000,60.000
1.000,10.000,75.000
1.000,10.000,92.000
1.000,10.000,111.000
1.000,10.000,132.000
1.000,10.000,154.500
1.000,10.000,179.000
1.000,10.000,205.000
1.000,10.000,233.000
1.000,10.000,263.000
1.000,10.000,294.500
1.000,10.000,328.000
1.000,10.000,363.000
1.000,10.000,400.000
1.000,105.000,2.000
1.000,105.000,3.000
1.000,105.000,5.500
1.000,105.000,10.000
1.000,105.000,16.500
1.000,105.000,24.500
1.000,105.000,34.500
1.000,105.000,46.000
1.000,105.000,60.000
1.000,105.000,75.000
1.000,105.000,92.000
1.000,105.000,111.000
1.000,105.000,132.000
1.000,105.000,154.500
1.000,105.000,179.000
1.000,105.000,205.000
1.000,105.000,233.000
1.000,105.000,263.000
1.000,105.000,294.500
1.000,105.000,328.000
1.000,105.000,363.000
1.000,105.000,400.000
1.000,196.000,2.000
1.000,196.000,3.000
1.000,196.000,5.500
1.000,196.000,10.000
1.000,196.000,16.500
1.000,196.000,24.500
1.000,196.000,34.500
1.000,196.000,46.000
1.000,196.000,60.000
1.000,196.000,75.000
1.000,196.000,92.000
1.000,196.000,111.000
1.000,196.000,132.000
1.000,196.000,154.500
1.000,196.000,179.000
1.000,196.000,205.000
1.000,196.000,233.000
1.000,196.000,263.000
1.000,196.000,294.500
1.000,196.000,328.000
1.000,196.000,363.000
1.000,196.000,400.000
1.000,284.000,2.000
1.000,284.000,3.000
1.000,284.000,5.500
1.000,284.000,10.000
1.000,284.000,16.500
1.000,284.000,24.500
1.000,284.000,34.500
1.000,284.000,46.000
1.000,284.000,60.000
1.000,284.000,75.000
1.000,284.000,92.000
1.000,284.000,111.000
1.000,284.000,132.000
1.000,284.000,154.500
1.000,284.000,179.000
1.000,284.000,205.000
1.000,284.000,233.000
1.000,284.000,263.000
1.000,284.000,294.500
1.000,284.000,328.000
1.000,284.000,363.000
1.000,284.000,400.000
1.000,370.000,2.000
1.000,370.000,3.000
1.000,370.000,5.500
1.000,370.000,10.000
1.000,370.000,16.500
1.000,370.000,24.500
1.000,370.000,34.500
1.000,370.000,46.000
1.000,370.000,60.000
1.000,370.000,75.000
1.000,370.000,92.000
1.000,370.000,111.000
1.000,370.000,132.000
1.000,370.000,154.500
1.000,370.000,179.000
1.000,370.000,205.000
1.000,370.000,233.000
1.000,370.000,263.000
1.000,370.000,294.500
1.000,370.000,328.000
1.000,370.000,363.000
1.000,370.000,400.000
1.000,452.000,2.000
1.000,452.000,3.000
1.000,452.000,5.500
1.000,452.000,10.000
1.000,452.000,16.500
