length,row_i,col_j,ri,rebco_pancake_length,scan,slope_deg
10m,6,13,0.3383050847457627,666.4661980951681,15.254627305879584,41.04042474064969
10m,6,14,0.3635593220338983,666.4661980951682,12.114608032220096,38.076981124035775
10m,7,15,0.3888135593220339,771.2565236803122,7.585687505930765,40.62067432170844
10m,7,16,0.4140677966101695,771.256523680312,6.2176418383229475,38.08688712537444
10m,8,17,0.4393220338983051,876.0468492654566,4.124121972241652,40.22179134007648
10m,8,18,0.4645762711864407,876.0468492654563,3.4631543550223203,38.01379374365117
10m,9,18,0.4645762711864407,980.8371748505988,2.8352133871777268,41.96298931484151
10m,9,19,0.4898305084745763,980.8371748505984,2.4027734773219227,39.85325423786248
10m,10,20,0.5150847457627119,1085.6275004357444,1.71560287040928,41.39233645209956
10m,10,21,0.5403389830508475,1085.6275004357449,1.4793241505880144,39.516536361530996
10m,11,22,0.5655932203389831,1190.417826020887,1.0894222479415454,40.89584925903099
1m,33,57,1.4494915254237288,3495.804988894057,19.524510687608927,41.60521930505791
1m,32,58,1.4747457627118643,3391.014663308912,19.677405161472116,40.043828864471884
1m,33,58,1.4747457627118643,3495.8049888940436,18.575368971513942,41.003000873984526
1m,34,58,1.4747457627118643,3600.595314479176,17.566343151278218,41.93990850761705
1m,56,59,1.5,5905.982477352363,6.637694934707095,38.573370571113095
1m,57,59,1.5,6010.772802937492,6.426471896972345,39.14189681289683
1m,58,59,1.5,6115.563128522646,6.225683470008792,39.703565203129216
2m,19,37,0.9444067796610168,2028.7404307020408,18.754648721789536,39.39296049750552
2m,20,37,0.9444067796610168,2133.530756287179,17.08277045795866,41.029972011203895
2m,19,38,0.9696610169491526,2028.7404307020447,17.351370805700466,38.44796760929745
2m,20,38,0.9696610169491526,2133.5307562871785,15.79980760221234,40.068817377532035
2m,21,38,0.9696610169491526,2238.3210818723273,14.455634132605338,41.631123615604935
2m,20,39,0.9949152542372882,2133.5307562871812,14.647026014757031,39.144075785564624
2m,21,39,0.9949152542372882,2238.321081872326,13.397173144475154,40.692492900190665
2m,20,40,1.0201694915254238,2133.530756287182,13.607983224635442,38.25437002790438
2m,21,40,1.0201694915254238,2238.3210818723287,12.44349893638897,39.787890268128066
2m,22,40,1.0201694915254238,2343.11140745746,11.428035586935913,41.2693636076223
2m,21,41,1.0454237288135593,2238.3210818723283,11.581689684651272,38.91610960216784
2m,22,41,1.0454237288135593,2343.111407457458,10.633938551333737,40.38465113327989
2m,23,41,1.0454237288135593,2447.9017330426054,9.802395265945837,41.804128179688824
2m,21,42,1.070677966101695,2238.321081872328,10.800711784298052,38.07593391172315
2m,22,42,1.070677966101695,2343.111407457463,9.91455905272518,39.53072734770514
2m,23,42,1.070677966101695,2447.901733042619,9.13717526856606,40.9389579974638
2m,22,43,1.0959322033898309,2343.111407457464,9.261125827006026,38.70651728335081
2m,23,43,1.0959322033898309,2447.901733042614,8.53312231089507,40.102708392615824
2m,24,43,1.0959322033898309,2552.692058627754,7.890885410162039,41.454860126127116
2m,23,44,1.121186440677966,2447.9017330426095,7.983214991164731,39.29442668539149
2m,24,44,1.121186440677966,2552.6920586277593,7.38086774498496,40.63601698375653
2m,25,44,1.121186440677966,2657.4823842128944,6.846743463257469,41.93593256634922
2m,23,45,1.1464406779661018,2447.901733042609,7.481389070592645,38.51315313229251
2m,24,45,1.1464406779661018,2552.6920586277574,6.915571612181727,39.84352979090241
2m,25,45,1.1464406779661018,2657.4823842129017,6.4139000622639655,41.13416607383059
2m,24,46,1.1716949152542373,2552.6920586277565,6.490094570981503,39.07654191082916
2m,25,46,1.1716949152542373,2657.482384212902,6.018200441865091,40.35726642230142
2m,26,46,1.1716949152542373,2762.272709798037,5.597815300780299,41.6002766807123
2m,24,47,1.196949152542373,2552.69205862775,6.100173288866991,38.334194712914474
2m,25,47,1.196949152542373,2657.482384212907,5.655657682311546,39.60446676566445
2m,26,47,1.196949152542373,2762.2727097980423,5.259704778948203,40.838702962177024
2m,25,48,1.2222033898305085,2657.4823842129,5.322794049915606,38.87499587648659
2m,26,48,1.2222033898305085,2762.2727097980405,4.949345259922052,40.09993099657391
2m,27,48,1.2222033898305085,2867.063035383188,4.6152326864330275,41.290579166308746
2m,25,49,1.2474576271186442,2657.482384212897,5.016566164356299,38.16808385879935
2m,26,49,1.2474576271186442,2762.272709798037,4.663884242154174,39.38326625322356
2m,27,49,1.2474576271186442,2867.0630353831916,4.348381007602391,40.56562630961721
2m,28,49,1.2474576271186442,2971.853360968326,4.064960847775665,41.71534849447573
2m,26,50,1.2727118644067796,2762.272709798047,4.400818525426209,38.68801331205412
2m,27,50,1.2727118644067796,2867.063035383191,4.102516208764559,39.86164296094252
2m,28,50,1.2727118644067796,2971.853360968336,3.8345717336020977,41.00397012391738
2m,26,51,1.297966101694915,2762.272709798038,4.157944931004494,38.01348021723866
2m,27,51,1.297966101694915,2867.0630353831875,3.87556893624055,39.177999501005075
2m,28,51,1.297966101694915,2971.8533609683445,3.621951445757015,40.31250113656196
2m,29,51,1.297966101694915,3076.643686553476,3.3932812339803404,41.41713795297831
2m,27,52,1.3232203389830508,2867.063035383178,3.66571319297292,38.514067750198066
2m,28,52,1.3232203389830508,2971.853360968329,3.425381074938186,39.64037016699274
2m,29,52,1.3232203389830508,3076.6436865534706,3.2087067156552647,40.737983954283095
2m,30,52,1.3232203389830508,3181.434012138622,3.012656344295159,41.80709154791838
2m,28,53,1.3484745762711865,2971.8533609683286,3.243340116036609,38.98700573120155
2m,29,53,1.3484745762711865,3076.6436865534797,3.037805646981964,40.07723123020939
2m,30,53,1.3484745762711865,3181.4340121386276,2.8518488574418193,41.140028857248154
2m,28,54,1.3737288135593222,2971.853360968337,3.0744800442939386,38.351839303347475
2m,29,54,1.3737288135593222,3076.643686553481,2.879306267847441,39.434358789076256
2m,30,54,1.3737288135593222,3181.4340121386176,2.702735963773483,40.490491158277
