length,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged,slope_deg
10m,1,13,10.0,0.6779310344827586,0.7067710973622133,0.0288400628794547,0.1254591776287646,0.0250918355257529,14.438460992364458,14.438460992364458,8.954800301366102,17.99898280363838,249.444862392248,407.22715076131544,750.0,250.91835525752865,627295.8881438216,814.4543015226309,3.2650674530306207,True,0.27444681403428295
10m,1,14,10.0,0.7293103448275863,0.756193411518678,0.0268830666910917,0.1254591776287646,0.0250918355257529,16.709929605058505,16.709929605058505,8.33554075704095,14.730723486526474,249.451036688192,416.9615515784553,750.0000000000002,250.91835525752492,627295.8881438123,833.9231031569107,3.3430332229859405,True,0.2607976979723035
10m,1,15,10.0,0.7806896551724138,0.8058605550868875,0.0251708999144736,0.1254591776287646,0.0250918355257529,19.14726385033839,19.14726385033839,7.795800570766468,12.229517050394051,249.54609166584137,425.87307500995786,750.0000000000002,250.91835525752617,627295.8881438153,851.7461500199157,3.413181686533724,True,0.24843202452159793
10m,1,16,10.0,0.8320689655172414,0.8557298989334522,0.0236609334162107,0.1254591776287646,0.0250918355257529,21.750463728204124,21.750463728204124,7.321276959073503,10.279346724711674,249.71509139622916,434.06093912962945,749.9999999999999,250.9183552575248,627295.8881438121,868.1218782592589,3.4764493944092,True,0.2371254161586963
10m,1,17,10.0,0.883448275862069,0.9057680457354336,0.0223197698733644,0.1254591776287646,0.0250918355257529,24.5195292386557,24.5195292386557,6.900886015230699,8.734031500478862,249.94713783417973,441.6092176097006,750.0000000000003,250.9183552575257,627295.8881438142,883.2184352194012,3.533620920297744,True,0.22671000766728774
10m,1,18,10.0,0.9348275862068964,0.9559484884056968,0.0211209021988002,0.1254591776287646,0.0250918355257529,27.454460381693117,27.454460381693117,6.5259093149717575,7.492051449029298,250.2341203051832,448.5895762059569,749.9999999999999,250.91835525752344,627295.8881438086,897.1791524119138,3.585358988285541,True,0.21705685686508175
10m,1,19,10.0,0.9862068965517242,1.0062499388113808,0.0200430422596565,0.1254591776287646,0.0250918355257529,30.555257157316383,30.555257157316383,6.189397355184308,6.4812880786206835,250.5698925068827,455.0634495195387,749.9999999999999,250.9183552575252,627295.8881438129,910.1268990390774,3.632227678806535,True,0.20806464125672566
10m,1,20,10.0,1.0375862068965518,1.0566551155858273,0.0190689086892754,0.1254591776287646,0.0250918355257529,33.82191956552548,33.82191956552548,5.885744238869137,5.649476543388952,250.94971831517356,461.0837832526126,750.0000000000001,250.91835525752904,627295.8881438226,922.1675665052252,3.674710506536826,True,0.1996521626579863
10m,1,21,10.0,1.0889655172413792,1.1071498517782083,0.0181843345368291,0.1254591776287646,0.0250918355257529,37.254447606320426,37.254447606320426,5.610379046486071,4.95806275516406,251.36989084465895,466.69643746751666,749.9999999999999,250.91835525753552,627295.8881438388,933.3928749350332,3.7132246499317194,True,0.19175323484451495
10m,1,22,10.0,1.140344827586207,1.157722428889732,0.0173776013035249,0.1254591776287646,0.0250918355257529,40.852841279701224,40.852841279701224,5.359538283936877,4.3781522839280145,251.827465698906,471.94132387545824,750.0000000000002,250.9183552575364,627295.888143841,943.8826477509164,3.7481322584545103,True,0.18431310664326822
10m,1,23,10.0,1.1917241379310346,1.208363073533444,0.0166389356024094,0.1254591776287646,0.0250918355257529,44.61710058566786,44.61710058566786,5.130095667477604,3.8877791946581826,252.32007101731523,476.8533332089752,750.0,250.91835525752543,627295.8881438136,953.7066664179504,3.779749516448508,True,0.17728590084817195
