candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
0,thickness_grids_L10000mm.csv,46,17,99,10.0,1.5,1.5166844199571472,0.0166844199571472,70.68583470577035,4.444171675991479,70.68583470577035,1.4891438463097968,221.40281083366003,1968.9232171206415,1968.9232171206415,3281.53869520107,750.0,0.1124486769765659,296342.5171549955,1,296.3425171549955,118.5370068619982,-0.010856153690203207,0.010856153690203207,1.5,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,47,18,95,10.0,1.4394343434343435,1.457897153351699,0.0184628099173553,65.09289591658843,4.777466057161984,65.09289591658843,1.4677052380179636,214.38470864651777,1938.500687470861,1938.500687470861,3230.834479118102,750.0000000000002,0.1105930526783681,309757.94496439426,1,309.75794496439426,123.90317798575772,-0.0322947619820364,0.0322947619820364,1.5,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,45,17,98,10.0,1.484858585858586,1.501543005815733,0.0166844199571472,69.26599253423487,4.468746959470318,69.26599253423487,1.5585880259802134,222.441564322643,1966.644315474567,1966.644315474567,3277.7405257909454,750.0000000000001,0.1131071656284558,295085.63140789187,1,295.08563140789187,118.03425256315674,0.0585880259802134,0.0585880259802134,1.5,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,48,18,96,10.0,1.4545757575757576,1.473038567493113,0.0184628099173553,66.4695231396439,4.750561694078036,66.4695231396439,1.4000800546758383,213.3507842961476,1940.918238750237,1940.918238750237,3234.863731250395,750.0000000000003,0.1099226026303533,311098.0485656545,1,311.0980485656545,124.4392194262618,-0.09991994532416171,0.09991994532416171,1.5,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,44,17,97,10.0,1.4697171717171718,1.486401591674319,0.0166844199571472,67.86055534552604,4.4936618673276065,67.86055534552604,1.6321059091160566,223.4968974708302,1964.3398111946135,1964.3398111946135,3273.899685324356,750.0000000000001,0.1137771052631217,293823.47672378237,1,293.8234767237824,117.52939068951297,0.13210590911605657,0.13210590911605657,1.5,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,49,18,97,10.0,1.4697171717171718,1.4881799816345271,0.0184628099173553,67.86055534552604,4.724032354564167,67.86055534552604,1.3362830021588703,212.3334028140139,1943.308570023987,1943.308570023987,3238.847616706645,749.9999999999998,0.1092638637472756,312432.38494055,1,312.43238494055004,124.97295397622,-0.1637169978411297,0.1637169978411297,1.5,0.25,pareto,closest
6,thickness_grids_L10000mm.csv,43,17,96,10.0,1.4545757575757576,1.4712601775329048,0.0166844199571472,66.4695231396439,4.518925251876048,66.4695231396439,1.709984162728747,224.5692413607165,1962.0091073398564,1962.0091073398564,3270.015178899761,750.0000000000001,0.1144588169956017,292555.9650666317,1,292.5559650666317,117.02238602665268,0.2099841627287471,0.2099841627287471,1.5,0.25,pareto,closest
7,thickness_grids_L10000mm.csv,50,18,98,10.0,1.484858585858586,1.5033213957759413,0.0184628099173553,69.26599253423487,4.6978684271524385,69.26599253423487,1.2760596982361274,211.33214144627465,1945.6723041616935,1945.6723041616935,3242.7871736028233,750.0,0.1086165131683511,313761.0499630384,1,313.76104996303843,125.50441998521536,-0.22394030176387258,0.22394030176387258,1.5,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,34,15,97,10.0,1.4697171717171718,1.4831496786042242,0.0134325068870523,67.86055534552604,4.03680247989298,67.86055534552604,2.5061086635672547,249.35852706666765,2007.560674001882,2007.560674001882,3345.9344566698037,750.0,0.1242097089746209,257961.62424477225,1,257.9616242447722,103.1846496979089,0.006108663567254702,0.006108663567254702,2.5,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,35,15,98,10.0,1.484858585858586,1.4982910927456383,0.0134325068870523,69.26599253423487,4.014376348708862,69.26599253423487,2.393327047743489,248.17815330317825,2009.7360649611687,2009.7360649611687,3349.560108268615,750.0000000000002,0.1234879333809305,259092.7504191347,1,259.09275041913475,103.6371001676539,-0.10667295225651108,0.10667295225651108,2.5,0.25,pareto,closest
