conductor_length_m,n_pancakes,thickness_m,scan_bin,scan_yr_mid,pancake_length_p60_m,rebco_total_km,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
1.0,250,0.004,6.0,6.5,6115.5631285226455,1528.8907821306614,58,57,1.0,1.4494915254237288,1.7533818135164183,0.3038902880926895,3.0577815642613237,0.6115563128522646,6.600566848439277,6.600566848439277,19.87930201205133,6.900488938673653,174.25339677422824,291.52857326333134,750.0,6115.5631285226455,1528890.7821306614,583.0571465266627,3.3460303059807885,True
1.0,250,0.004,7.0,7.5,5947.898607586416,1486.974651896604,56,57,1.0,1.4494915254237288,1.7438440260986514,0.2943525006749226,2.95299123867618,0.5905982477352358,6.600566848439277,6.600566848439277,19.56485286166749,7.3549215765998435,176.59782373150077,293.86019879868803,749.9999999999999,5905.98247735236,1476495.6193380898,587.7203975973761,3.328016082978156,True
1.0,250,0.004,8.0,8.5,5801.192151767214,1450.2980379418036,55,55,1.0,1.3989830508474577,1.6971864904417904,0.2982034395943327,2.900596075883608,0.5801192151767215,6.148579298063048,6.148579298063048,20.04475070450552,8.456096645310668,173.62153596078113,290.318026097222,750.0000000000001,5801.192151767217,1450298.0379418044,580.636052194444,3.344262847240346,True
1.0,250,0.004,9.0,9.5,5654.485695948007,1413.6214239870017,54,54,1.0,1.3737288135593222,1.67144888096456,0.2977200674052378,2.848200913091036,0.569640182618207,5.928596424785507,5.928596424785507,20.21175904250789,9.236322655946594,172.73013155622587,289.107221278,749.9999999999998,5696.401826182064,1424100.456545516,578.214442556,3.347501894119636,True
1.0,250,0.004,10.0,10.5,5570.653435479895,1392.6633588699738,53,52,1.0,1.3232203389830508,1.6250675911074934,0.3018472521244426,2.7958057502984643,0.5591611500596927,5.500652482051566,5.500652482051566,20.736148338315612,10.701930160124446,169.74379994115094,285.3765141842522,750.0,5591.611500596926,1397902.8751492314,570.7530283685044,3.362438148352875,True
1.0,250,0.004,11.0,11.5,5402.988914543671,1350.7472286359177,51,52,1.0,1.3232203389830508,1.6147720826970418,0.2915517437139909,2.69101542471332,0.5382030849426639,5.500652482051566,5.500652482051566,20.379442500073072,11.471105639490323,172.20258303382772,287.90263763789227,750.0000000000002,5382.030849426646,1345507.7123566614,575.8052752757845,3.343766772433794,True
1.0,250,0.004,12.0,12.5,5382.030849426634,1345.5077123566584,51,50,1.0,1.2727118644067796,1.5736493584534972,0.3009374940467175,2.69101542471332,0.5382030849426639,5.088737611079156,5.088737611079156,21.111722333479783,12.911012910833062,167.95571466265793,282.7688715712349,750.0000000000002,5382.030849426632,1345507.712356658,565.5377431424698,3.3671836905243895,True
1.0,250,0.004,13.0,13.5,5172.450198256357,1293.1125495640892,49,51,1.0,1.297966101694915,1.5836467466257265,0.2856806449308111,2.586225099128177,0.5172450198256352,5.292691412595172,5.292691412595172,20.368511621278724,13.071619917287476,172.63506369718831,287.98082524821797,749.9999999999998,5172.45019825636,1293112.54956409,575.9616504964359,3.336295872701187,True
1.0,250,0.004,14.0,14.5,5214.366328490413,1303.591582122603,49,49,1.0,1.2474576271186442,1.542521166274755,0.2950635391561109,2.586225099128177,0.5172450198256352,4.888791077503525,4.888791077503525,21.115211400212385,14.746937554280152,168.31522008209552,282.7448921616714,750.0000000000002,5172.450198256354,1293112.5495640885,565.4897843233427,3.3597067695216505,True
2.0,500,0.004,1.0,1.5,5172.45019825636,2586.22509912818,49,51,2.0,1.297966101694915,1.5836467466257265,0.2856806449308111,2.586225099128177,0.5172450198256352,10.585382825190344,10.585382825190344,20.368511621278728,1.2968689504769122,99.39517006619808,287.98082524821797,750.0000000000001,5172.45019825636,2586225.0991281797,575.9616504964359,5.794664369635267,True
