target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,v_bore,valid,b0,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,pancake_length_m,search_pool,pick_rule,note
1.5,0.25,outside_window,4.0,251.45900338148644,9.480757611595273,7.980757611595273,7.980757611595273,0,thickness_grids_L4000mm.csv,4,97,99,1.5,1.980082032445669,0.4800820324456689,28.274333882308134,28.274333882308134,1,6.003864787804329,13.185982013280004,1834.884940500724,1834.8849405017197,3058.141567502866,38.656880582249165,17.601319636290803,13.190640761428396,87.26349640629151,743.7408820043229,0.9916545093390972,0.1173305092105778,0.007186271859463,0.0071862718594669,0.8862626267191557,23.0,23000.0,20.873131845463867,1100.9309643004344,1100.9309643010315,1.0000000000005425,251459.00338148643,543.1145610735581,543.1145610735581,896.1924251924479,896.1924251924479,4.0,4403.723857201738,224.04810629811195,135.77864026838952,14.938753577499345,14.938753577499345,2.4999999999999996e+16,0.8826694907894221,0.0035931359297334,0.8790763548596887,18.349076657216063,166043.13436740413,43.0,0,1,1,mechanical,251.45900338148644,pareto,closest,no design within +/-0.25 yr; nearest is 9.481 yr at 251.5 km
1.5,0.25,outside_window,5.0,301.513508708037,3.9893164340729297,2.4893164340729297,2.4893164340729297,0,thickness_grids_L5000mm.csv,34,98,99,1.5,1.9899902050811145,0.4899902050811142,35.34291735288517,35.34291735288517,1,6.189544620967478,12.259019633829643,1820.2422862041192,1820.242286204766,3033.7371436746103,37.283267112494165,18.824216968493573,12.348504732146928,81.08580262559848,694.8376695265298,0.9264502260353732,0.1166974765211725,0.006734828504281,0.0067348285042834,0.8866699377309692,22.0,27500.0,22.272282049141555,1092.1453717224715,1092.1453717228596,1.0000000000003553,301513.508708037,619.2533439534237,619.2533439534237,1038.3349125004395,1038.3349125004395,4.0,4368.581486889887,259.58372812510993,154.81333598835593,13.878619508012184,13.878619508012184,2.4999999999999996e+16,0.8833025234788274,0.0033674142521417,0.8799351092266857,19.59816293763893,212593.00194809333,43.0,0,1,1,mechanical,241.21080696642963,pareto,closest,no design within +/-0.25 yr; nearest is 3.989 yr at 301.5 km
1.5,0.25,outside_window,6.0,344.3895046311662,2.126625489752579,0.6266254897525791,0.6266254897525791,0,thickness_grids_L6000mm.csv,45,97,99,1.5,1.980082032445669,0.4800820324456689,42.411500823462205,42.411500823462205,1,6.222661747985831,11.92633940937702,1817.6575439017772,1817.6575439025848,3029.4292398376415,37.144272887147494,19.380317641293217,11.993157284328491,77.32000441969357,704.425457652473,0.9392339435366308,0.1097632170724858,0.0065613786542929,0.0065613786542958,0.893517472254662,21.0,31500.0,22.861049164079475,1090.5945263410665,1090.5945263415508,1.000000000000444,344389.5046311662,662.7097605474654,662.7097605474654,1114.363132275624,1114.363132275624,4.0,4362.378105364266,278.590783068906,165.67744013686635,13.396817159315352,13.396817159315352,2.4999999999999996e+16,0.8902367829275142,0.0032806893271479,0.8869560936003662,20.27674686217785,251199.98024555645,43.0,0,1,1,mechanical,229.59300308744412,pareto,closest,no design within +/-0.25 yr; nearest is 2.127 yr at 344.4 km
1.5,0.25,in_window,7.0,372.79412565931136,1.5004396360380026,0.00043963603800256656,0.00043963603800256656,10,thickness_grids_L7000mm.csv,56,94,97,1.4697171717171718,1.9206844199571471,0.4509672482399756,47.50238874186823,47.50238874186823,1,6.177571903758727,12.115150694418553,1821.178723558188,1821.1787235593567,3035.297872598928,38.40897153864944,19.58491391598963,12.192650049227474,74.61970840047427,697.4535300723741,0.9299380400964988,0.1069887887623581,0.0066523677976757,0.00665236779768,0.8963373951364819,20.0,35000.0,22.548362411998777,1092.7072341349128,1092.707234135614,1.0000000000006417,372794.12565931136,648.7297551340813,648.7297551340813,1086.6412247427982,1086.6412247427982,4.0,4370.828936539651,271.66030618569954,162.18243878352033,13.566627766775657,13.566627766775657,2.5000000000000004e+16,0.8930112112376418,0.00332618389884,0.8896850273388018,20.060940428964347,269035.1213865278,43.0,0,1,1,mechanical,213.02521466246364,pareto,closest,
1.5,0.25,in_window,8.0,349.7956461225891,1.5121636820775604,0.012163682077560356,0.012163682077560356,9,thickness_grids_L8000mm.csv,51,81,97,1.4697171717171718,1.8050890725436184,0.3353719008264463,54.28844427642083,54.28844427642083,1,5.516277655601637,14.145318929803269,1860.3696067782107,1874.595961196414,3124.3266019940233,45.59888470821326,17.78228614600564,14.145318929805995,72.17359030580172,746.2499999983701,0.9949999999978268,0.0967150288857077,0.0075457961195944,0.0076034992607195,0.907086720744652,17.0,34000.0,19.72775887214391,1116.2217640669262,1124.7575767178485,1.0076470580718857,349795.6461225891,508.071756855843,508.071756855843,815.5565443881021,815.5565443881021,4.0,4464.887056267705,203.88913609702553,127.01793921396074,15.65986303564157,15.65986303564157,2.5e+16,0.9032849711142924,0.0038017496303597,0.8994832214839326,17.744788102974233,223400.9090699903,43.0,0,1,1,mechanical,174.89782306129456,pareto,closest,
1.5,0.25,in_window,9.0,337.3754403421905,1.5059991856682866,0.005999185668286611,0.005999185668286611,9,thickness_grids_L9000mm.csv,49,73,96,1.4545757575757576,1.7273483318028773,0.2727725742271197,59.82257082567951,59.82257082567951,1,5.0928189537597275,15.760227399752171,1910.6479103267484,1910.6479103276124,3184.413183879354,51.38908031186732,16.60606002630864,15.837701365078946,70.5414742320128,706.2314199905136,0.9416418933206848,0.0998843611814387,0.0082486298572141,0.0082486298572178,0.90423995374717,15.0,33750.0,18.184838281807977,1146.3887461960492,1146.3887461965674,1.000000000000452,337375.4403421905,428.68223241702646,428.68223241702646,652.3815214391434,652.3815214391434,4.0,4585.554984784197,163.09538035978585,107.1705581042566,17.509114073874013,17.509114073874013,2.5e+16,0.9001156388185613,0.0041243149286089,0.8959913238899523,16.293457326841814,197919.7874614236,43.0,0,1,1,mechanical,149.94464015208467,pareto,closest,
1.5,0.25,in_window,10.0,322.2445343712952,1.5217423403364736,0.021742340336473598,0.021742340336473598,10,thickness_grids_L10000mm.csv,44,65,97,1.4697171717171718,1.6863942454851546,0.2166770737679828,67.86055534552604,67.86055534552604,1,4.573010444940085,17.61251154008692,1957.039724210699,1957.0397242123197,3261.7328736871996,58.163499464982586,15.101894466456072,17.708484904030648,68.77059596507351,701.1920204988913,0.9349226939985218,0.0980766950487312,0.0089995677257781,0.0089995677257855,0.9064230888141616,13.0,32500.0,16.667467212921757,1174.2238345264195,1174.2238345273918,1.000000000000828,322244.5343712952,361.57502040728184,361.57502040728184,524.4772226094352,524.4772226094352,4.0,4696.895338105678,131.1193056523588,90.39375510182046,19.527726407999328,19.527726407999328,2.5e+16,0.9019233049512688,0.0044997838628927,0.897423521088376,14.957777113845305,173617.21256709023,43.0,0,1,1,mechanical,128.89781374851808,pareto,closest,
2.5,0.25,outside_window,4.0,251.45900338148644,9.480757611595273,6.980757611595273,6.980757611595273,0,thickness_grids_L4000mm.csv,4,97,99,1.5,1.980082032445669,0.4800820324456689,28.274333882308134,28.274333882308134,1,6.003864787804329,13.185982013280004,1834.884940500724,1834.8849405017197,3058.141567502866,38.656880582249165,17.601319636290803,13.190640761428396,87.26349640629151,743.7408820043229,0.9916545093390972,0.1173305092105778,0.007186271859463,0.0071862718594669,0.8862626267191557,23.0,23000.0,20.873131845463867,1100.9309643004344,1100.9309643010315,1.0000000000005425,251459.00338148643,543.1145610735581,543.1145610735581,896.1924251924479,896.1924251924479,4.0,4403.723857201738,224.04810629811195,135.77864026838952,14.938753577499345,14.938753577499345,2.4999999999999996e+16,0.8826694907894221,0.0035931359297334,0.8790763548596887,18.349076657216063,166043.13436740413,43.0,0,1,1,mechanical,251.45900338148644,pareto,closest,no design within +/-0.25 yr; nearest is 9.481 yr at 251.5 km
2.5,0.25,outside_window,5.0,301.513508708037,3.9893164340729297,1.4893164340729297,1.4893164340729297,0,thickness_grids_L5000mm.csv,34,98,99,1.5,1.9899902050811145,0.4899902050811142,35.34291735288517,35.34291735288517,1,6.189544620967478,12.259019633829643,1820.2422862041192,1820.242286204766,3033.7371436746103,37.283267112494165,18.824216968493573,12.348504732146928,81.08580262559848,694.8376695265298,0.9264502260353732,0.1166974765211725,0.006734828504281,0.0067348285042834,0.8866699377309692,22.0,27500.0,22.272282049141555,1092.1453717224715,1092.1453717228596,1.0000000000003553,301513.508708037,619.2533439534237,619.2533439534237,1038.3349125004395,1038.3349125004395,4.0,4368.581486889887,259.58372812510993,154.81333598835593,13.878619508012184,13.878619508012184,2.4999999999999996e+16,0.8833025234788274,0.0033674142521417,0.8799351092266857,19.59816293763893,212593.00194809333,43.0,0,1,1,mechanical,241.21080696642963,pareto,closest,no design within +/-0.25 yr; nearest is 3.989 yr at 301.5 km
2.5,0.25,in_window,6.0,323.46455317492627,2.454571020332832,-0.04542897966716808,0.04542897966716808,6,thickness_grids_L6000mm.csv,40,92,99,1.5,1.9320655035200491,0.4320655035200491,42.411500823462205,42.411500823462205,1,6.003507359412608,12.740522175983845,1834.9133763582704,1834.9133763585896,3058.1889605976494,39.6291052881549,18.67377348888002,12.743050823372473,77.51882567180223,744.6796710597774,0.9929062280797032,0.1040968737087756,0.0069433916282563,0.0069433916282575,0.8993748221053531,20.0,30000.0,21.60327517600246,1100.9480258149622,1100.9480258151536,1.000000000000174,323464.55317492626,599.3510658606568,599.3510658606568,988.9575346221694,988.9575346221694,4.0,4403.792103259849,247.23938365554235,149.8377664651642,14.220870317448114,14.220870317448114,2.4999999999999996e+16,0.8959031262912244,0.0034716958141287,0.8924314304770956,19.2794417683102,224375.45476995132,43.0,0,1,1,mechanical,215.64303544995084,pareto,closest,
