candidate_rank,source_file,pareto_rank,row_i,col_j,schema,solenoid_length_m,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m,piece_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
0,thickness_grids_L10000mm.csv,56,48,29,2,10.0,2500,10,1.6375838926174495,1.7375838926174496,0.1,84.24749345710639,1,3.53712895637651,84.24749345710639,2.067351830818702,29.707907443533927,2970.790744353395,3085.930679883264,5143.21779980544,84.75652501989899,10.091412848904197,29.707907469454007,92.14231146984824,749.9999940193032,18428.462293969667,0.9999999920257376,0.1228564162728202,0.0049999999999999,0.1178564162728203,0.0096268874855794,0.0099999999999999,0.8821435837271797,10.0,10.0,1.0,25000.0,2500.0,10.0,10.000000000000009,100.00000000000009,11883.162977413582,1188.316297741358,1234.3722719533057,1.0387573361566165,265085.0579681723,258.98184445879576,258.98184445879576,3.6680496724573337,3.6680496724573337,0.0841526790384603,1000.0,43.58803206705901,3077.5234658950444,33.86892179875314,33.86892179875314,2.4999999999999996e+16,0.8771435837271797,0.0049999999999999,0.8721435837271797,87.21435837271804,83334.32853356091,33.0,0,1,1,mechanical,265.0850579681723,106.03402318726891,10.603402318726893,0.06735183081870222,0.06735183081870222,2,0.2,pareto,closest
1,thickness_grids_L10000mm.csv,57,49,29,2,10.0,2500,10,1.6375838926174495,1.7405838926174495,0.103,84.24749345710639,1,3.6022162127103257,84.24749345710639,1.921935732111815,29.37605562031203,3025.7337288921385,3075.9859136745927,5126.643189457654,83.44066376573561,10.23184717857132,29.37605562055756,92.95927470573352,749.9999999431599,19149.610589381104,0.9999999999242132,0.1239456996170381,0.0048543689320388,0.1190913306849993,0.0095501268356652,0.0097087378640776,0.8809086693150007,10.0,10.0,1.0,25000.0,2500.0,10.0,10.3,103.0,12102.934915568554,1210.293491556855,1230.394365469837,1.0166082640724814,265320.6774171915,269.0951030163076,269.0951030163076,3.674128949763532,3.674128949763532,0.0826245870919833,1000.0,44.467743550394275,3256.8405179045862,33.53223151518173,33.53223151518173,2.5e+16,0.8760543003829618,0.0048543689320388,0.871199931450923,89.73359293944505,85803.96340805879,33.0,0,1,1,mechanical,265.3206774171915,106.1282709668766,10.61282709668766,-0.0780642678881851,0.0780642678881851,2,0.2,pareto,closest
2,thickness_grids_L10000mm.csv,58,50,29,2,10.0,2500,10,1.6375838926174495,1.7425838926174495,0.105,84.24749345710639,1,3.6451512790202094,84.24749345710639,1.832971615899489,29.161758902641953,3061.9846847774043,3069.464130965914,5115.773551609857,82.59443775762752,10.324110470747195,29.16175891468661,93.4947212692332,749.999997205287,19633.89146653897,0.999999996273716,0.1246596288234948,0.0047619047619047,0.11989772406159,0.0095006025997981,0.0095238095238095,0.88010227593841,10.0,10.0,1.0,25000.0,2500.0,10.0,10.499999999999998,105.0,12247.938739109615,1224.7938739109618,1227.7856523863657,1.0024426791635157,265477.75704987097,275.8858978184286,275.8858978184286,3.678184300517681,3.678184300517681,0.0816463913888498,1000.0,45.050175983895315,3379.033575464369,33.314765162089984,33.314765162089984,2.4999999999999996e+16,0.8753403711765052,0.0047619047619047,0.8705784664146005,91.41073897353304,87450.5204840592,33.0,0,1,1,mechanical,265.47775704987095,106.19110281994838,10.61911028199484,-0.1670283841005109,0.1670283841005109,2,0.2,pareto,closest
3,thickness_grids_L10000mm.csv,59,51,29,2,10.0,2500,10,1.6375838926174495,1.7455838926174496,0.108,84.24749345710639,1,3.652411088027961,84.24749345710639,1.8184415961365867,28.410781156315068,3068.36436488203,3068.364366786596,5113.9406113109935,81.36874483614503,10.460539758597768,29.022285926943315,91.43498111158176,627.9551116193992,19749.955920101675,0.837273482159199,0.1456075114601505,0.0046296296296296,0.1409778818305208,0.0092592592535119,0.0092592592592592,0.8590221181694792,10.0,10.0,1.0,25000.0,2500.0,10.0,10.80000000000001,108.0000000000001,12273.45745952812,1227.345745952812,1227.3457467146384,1.0000000006207106,265713.3764988902,277.4951670964326,277.4951670964326,3.684271072017044,3.684271072017044,0.0814766338904512,1000.0,45.21874427177125,3405.8251285827128,33.252611109525176,33.252611109525176,2.5e+16,0.8543924885398495,0.0046296296296296,0.8497628589102199,91.77438876230384,87874.44521821241,33.0,1,1,1,packing,265.7133764988902,106.2853505995561,10.62853505995561,-0.18155840386341326,0.18155840386341326,2,0.2,pareto,closest
0,thickness_grids_L10000mm.csv,44,44,26,2,10.0,2500,10,1.4785234899328854,1.5665234899328857,0.088,68.67621161540407,1,3.538319167488526,68.67621161540407,4.08004990320471,33.44747647460075,2943.3779297648684,3085.7481938568285,5142.913656428048,94.79897169865583,10.028529921361136,33.44747648522292,93.36427395933016,749.9999978484786,16432.112216842124,0.9999999971313048,0.1244856989695517,0.0056818181818181,0.1188038807877335,0.0108393408578148,0.0113636363636363,0.8811961192122665,10.0,10.0,1.0,25000.0,2500.0,10.0,8.800000000000008,88.00000000000009,11773.511719059474,1177.3511719059477,1234.2992775427315,1.048369685269514,239157.4305445523,201.6720923218249,201.6720923218249,2.9098041496107405,2.9098041496107405,0.0849364254151254,1000.0,34.25861325560994,2374.3887423582496,38.20323258596038,38.20323258596038,2.5e+16,0.8755143010304482,0.0056818181818181,0.8698324828486301,76.54525849067952,66038.59066567803,33.0,0,1,1,mechanical,239.1574305445523,95.66297221782092,9.566297221782092,0.08004990320470995,0.08004990320470995,4,0.2,pareto,closest
0,thickness_grids_L10000mm.csv,38,43,24,2,10.0,2500,10,1.37248322147651,1.45748322147651,0.085,59.17850104557836,1,3.6599887611512743,59.17850104557836,5.8534114593638025,35.61099566804437,3026.93463178377,3067.2173705395307,5112.028950899218,99.758008575439,10.252821730243689,35.61099568416208,95.57272184495793,749.9999969967042,16247.36271364284,0.9999999959956056,0.1274302963035584,0.0058823529411764,0.1215479433623819,0.0116101962678244,0.0117647058823529,0.878452056637618,10.0,10.0,1.0,25000.0,2500.0,10.0,8.499999999999996,84.99999999999997,12107.73852713508,1210.773852713508,1226.8869482158125,1.0133080966905526,222265.04467717113,181.7335327184638,181.7335327184638,2.4793566150183044,2.4793566150183044,0.0825918066993984,1000.0,30.01940161016434,2200.3820957677076,40.81163432237739,40.81163432237739,2.5000000000000004e+16,0.8725697036964416,0.0058823529411764,0.8666873507552652,73.66842481419751,59082.41294578746,33.0,0,1,1,mechanical,222.26504467717112,88.90601787086845,8.890601787086846,-0.14658854063619753,0.14658854063619753,6,0.2,pareto,closest
0,thickness_grids_L3000mm.csv,147,89,120,2,3.0,750,10,6.46241610738255,6.70241610738255,0.24,393.60532384637054,1,0.9884589223064372,393.60532384637054,1.98839904322969,14.749676656252916,3539.922397500703,3539.922398526204,5899.870664210341,34.03118218202792,2.280621226377922,14.761436973455124,140.8874118326337,746.24011657116,67625.95767966424,0.99498682209488,0.1887963521446504,0.0020833333333333,0.186713018811317,0.0041666666654595,0.0041666666666666,0.8132869811886829,10.0,10.0,1.0,7500.0,750.0,10.0,24.00000000000002,240.00000000000023,14159.689590002812,1415.9689590002813,1415.9689594104818,1.000000000289696,310189.0512873621,1070.7511064221544,1070.7511064221544,10.680979016467692,10.680979016467692,0.0706230170967894,1000.0,151.23934739051606,15161.503295089777,18.182458492695307,18.182458492695307,2.499999999999999e+16,0.8112036478553496,0.0020833333333333,0.8091203145220163,194.1888754852841,216439.0415774136,33.0,0,1,1,mechanical,310.18905128736213,413.5854017164828,41.35854017164828,-0.011600956770309923,0.011600956770309923,2,0.2,pareto,closest
1,thickness_grids_L3000mm.csv,148,89,121,2,3.0,750,10,6.515436241610738,6.755436241610738,0.24,400.09039550204574,1,0.9780302517093488,400.09039550204574,1.9645889170450808,14.70585260689014,3529.4046256536367,3542.0831359499152,5903.471893249859,33.937335187149884,2.257042917721166,14.705852615545613,140.82709003562465,749.9999972076552,67597.00321709989,0.9999999962768736,0.1877694540799223,0.0020833333333333,0.1856861207465889,0.004151752525974,0.0041666666666666,0.814313879253411,10.0,10.0,1.0,7500.0,750.0,10.0,24.00000000000002,240.00000000000023,14117.618502614549,1411.7618502614548,1416.833254379966,1.0035922518501064,312687.56625011645,1076.6627040717594,1076.6627040717594,10.804054869746116,10.804054869746116,0.0708334766104355,1000.0,152.52752493239058,15199.913312078485,18.10551533768243,18.10551533768243,2.4999999999999996e+16,0.8122305459200777,0.0020833333333333,0.8101472125867444,194.43533102081884,218458.6135712892,33.0,0,1,1,mechanical,312.68756625011645,416.91675500015526,41.69167550001553,-0.03541108295491924,0.03541108295491924,2,0.2,pareto,closest
2,thickness_grids_L3000mm.csv,146,89,119,2,3.0,750,10,6.409395973154362,6.649395973154363,0.24,387.17324083017405,1,0.9956662566800146,387.17324083017405,2.040492457343904,14.743461579596689,3538.4307791032084,3538.430779743502,5897.384632905837,34.126963118645115,2.304687093784105,14.835161894116082,139.979649564839,721.6127983017911,67190.23179112277,0.9621503977357216,0.1939816614869641,0.0020833333333333,0.1918983281536308,0.0041666666659126,0.0041666666666666,0.8081016718463692,10.0,10.0,1.0,7500.0,750.0,10.0,24.00000000000002,240.00000000000023,14153.723116412832,1415.3723116412834,1415.372311897401,1.000000000180954,307690.53632460785,1057.5517428038154,1057.5517428038154,10.558208403802574,10.558208403802574,0.0706527880879899,1000.0,149.43795835280474,14968.29454892504,18.291719772525052,18.291719772525052,2.5000000000000004e+16,0.8060183385130358,0.0020833333333333,0.8039350051797025,192.9444012431288,213323.30545788724,33.0,0,1,1,mechanical,307.6905363246079,410.25404843281046,41.025404843281045,0.040492457343904054,0.040492457343904054,2,0.2,pareto,closest
3,thickness_grids_L3000mm.csv,149,90,121,2,3.0,750,10,6.515436241610738,6.759436241610738,0.244,400.09039550204574,1,0.9810896296381574,400.09039550204574,1.9401982219294076,14.514135072091008,3541.448957590203,3541.448958346764,5902.41493057794,33.66418579751218,2.2755461081287263,14.651627350238362,139.41431013627022,707.5764536534235,68034.1833464998,0.943435271537898,0.1970307369845809,0.0020491803278688,0.1949815566567121,0.0040983606548621,0.0040983606557377,0.8050184433432879,10.0,10.0,1.0,7500.0,750.0,10.0,24.399999999999977,243.99999999999977,14165.79583036081,1416.579583036081,1416.5795833387056,1.0000000002136304,312781.8140297241,1083.9181992684269,1083.9181992684269,10.803004270407412,10.803004270407412,0.0705925746760201,1000.0,153.03315284910738,15354.56390764888,18.07557990150901,18.07557990150901,2.5000000000000004e+16,0.802969263015419,0.0020491803278688,0.8009200826875502,195.4245001757621,219633.32815098515,33.0,0,1,1,mechanical,312.7818140297241,417.0424187062988,41.70424187062988,-0.05980177807059239,0.05980177807059239,2,0.2,pareto,closest
