target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,schema,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,pancake_length_m,piece_length_m,search_pool,pick_rule,note
2,0.2,in_window,3.0,310.18905128736213,1.98839904322969,-0.011600956770309923,0.011600956770309923,13,thickness_grids_L3000mm.csv,147,89,120,2,750,10,6.46241610738255,6.70241610738255,0.24,393.60532384637054,1,0.9884589223064372,393.60532384637054,14.749676656252916,3539.922397500703,3539.922398526204,5899.870664210341,34.03118218202792,2.280621226377922,14.761436973455124,140.8874118326337,746.24011657116,67625.95767966424,0.99498682209488,0.1887963521446504,0.0020833333333333,0.186713018811317,0.0041666666654595,0.0041666666666666,0.8132869811886829,10.0,10.0,1.0,7500.0,750.0,10.0,24.00000000000002,240.00000000000023,14159.689590002812,1415.9689590002813,1415.9689594104818,1.000000000289696,310189.0512873621,1070.7511064221544,1070.7511064221544,10.680979016467692,10.680979016467692,0.0706230170967894,1000.0,151.23934739051606,15161.503295089777,18.182458492695307,18.182458492695307,2.499999999999999e+16,0.8112036478553496,0.0020833333333333,0.8091203145220163,194.1888754852841,216439.0415774136,33.0,0,1,1,mechanical,413.5854017164828,41.35854017164828,pareto,closest,
2,0.2,in_window,4.0,238.37582759375655,1.996947941408182,-0.0030520585918178966,0.0030520585918178966,8,thickness_grids_L4000mm.csv,99,72,68,2,1000,10,3.7053691275167786,3.882369127516778,0.177,172.53325727026842,1,1.9632831770165111,172.53325727026842,18.926041978990007,3349.9094302812323,3349.9094321252956,5583.182386875493,49.426394476206305,5.127221469942873,19.26240239827944,109.96715755482832,659.7076995282519,38928.37377440923,0.8796102660376692,0.1666907292933891,0.0028248587570621,0.1638658705363269,0.0056497175110142,0.0056497175141242,0.8361341294636729,10.0,10.0,1.0,10000.0,1000.0,10.0,17.700000000000003,177.00000000000006,13399.63772112493,1339.963772112493,1339.9637728501184,1.0000000005504817,238375.82759375655,649.4203512319772,649.4203512319772,7.233854619866776,7.233854619866776,0.0746288833184997,1000.0,96.93103123350068,8701.997435234201,22.711906184532815,22.711906184532815,2.5e+16,0.8333092707066109,0.0028248587570621,0.8304844119495487,146.99574091507014,126011.35879694798,33.0,0,1,1,mechanical,238.37582759375655,23.837582759375657,pareto,closest,
2,0.2,in_window,5.0,221.7969684563007,1.9766250993572507,-0.023374900642749274,0.023374900642749274,6,thickness_grids_L5000mm.csv,85,63,50,2,1250,10,2.7510067114093957,2.8970067114093956,0.146,118.87846175550116,1,2.6847360337379556,118.87846175550116,22.075305751295964,3222.9946396892087,3222.994639942668,5371.65773323778,59.449806748465505,7.230116772765117,22.128907819049942,103.41268727908044,735.2972842426648,30196.504685491465,0.9803963789902196,0.1406406490207461,0.0034246575342465,0.1372159914864995,0.0068493150679545,0.0068493150684931,0.8627840085135005,10.0,10.0,1.0,12500.0,1250.0,10.0,14.59999999999999,145.99999999999991,12891.978558756837,1289.1978558756834,1289.197855977067,1.000000000078641,221796.9684563007,488.42259018102567,488.42259018102567,5.877418139453002,5.877418139453002,0.0775676127168822,1000.0,75.77154863467658,6296.733560226259,25.68809628491363,25.68809628491363,2.5e+16,0.8593593509792539,0.0034246575342465,0.8559346934450073,124.96646524297098,99735.8445756066,33.0,0,1,1,mechanical,177.43757476504055,17.743757476504058,pareto,closest,
2,0.2,in_window,6.0,225.28476883721905,2.056268598505215,0.05626859850521493,0.05626859850521493,6,thickness_grids_L6000mm.csv,70,57,42,2,1500,10,2.326845637583893,2.4538456375838926,0.127,102.0554658742277,1,3.018805483068592,102.0554658742277,24.185704390117955,3071.584457544975,3167.7145650569055,5279.524275094843,66.95083665836941,8.356653564445947,24.185704398487584,97.8738623505844,749.9999977516013,24859.96103704839,0.9999999970021352,0.1304984835253293,0.0039370078740157,0.1265614756513136,0.0076350643005877,0.0078740157480315,0.8734385243486864,10.0,10.0,1.0,15000.0,1500.0,10.0,12.699999999999978,126.99999999999976,12286.3378301799,1228.63378301799,1267.0858260227624,1.0312965861237509,225284.76883721905,396.99557688922897,396.99557688922897,5.259818501778452,5.259818501778452,0.0813912179383201,1000.0,64.62390703828075,4877.621774748227,27.81559770956708,27.81559770956708,2.5e+16,0.8695015164746707,0.0039370078740157,0.8655645086006549,109.92669259228298,89160.78766017429,33.0,0,1,1,mechanical,150.18984589147934,15.018984589147934,pareto,closest,
2,0.2,in_window,7.0,233.1880882350149,2.024285999875775,0.024285999875774955,0.024285999875774955,5,thickness_grids_L7000mm.csv,65,54,37,2,1750,10,2.0617449664429524,2.179744966442952,0.118,93.47980517761624,1,3.2606374744238895,93.47980517761624,25.71113720997445,3033.9141907769813,3128.97353904764,5214.955898412733,72.04039064861023,9.13602519805573,25.711137224981744,95.53262628430146,749.9999961254535,22545.69980309511,0.999999994833938,0.1273768357037719,0.0042372881355932,0.1231395475681786,0.0082171155777175,0.0084745762711864,0.8768604524318213,10.0,10.0,1.0,17500.0,1750.0,10.0,11.799999999999988,117.99999999999989,12135.656763107929,1213.5656763107927,1251.589415619056,1.0313322468247903,233188.0882350149,349.47345703313556,349.47345703313556,4.745889502919423,4.745889502919423,0.0824018031755787,1000.0,57.59448604306701,4241.089922370879,29.464192863491675,29.464192863491675,2.5e+16,0.8726231642962281,0.0042372881355932,0.8683858761606349,102.46953338695482,86056.38679484875,33.0,0,1,1,mechanical,133.25033613429423,13.325033613429422,pareto,closest,
2,0.2,in_window,8.0,239.59851858692215,2.0009507162085347,0.0009507162085347076,0.0009507162085347076,4,thickness_grids_L8000mm.csv,61,53,33,2,2000,10,1.8496644295302016,1.9636644295302017,0.114,85.98560460403334,1,3.5059422640330467,85.98560460403334,27.11158539829897,3090.720735406085,3090.7207364149426,5151.201227358238,75.96625121570467,9.82359706614579,27.182706085539397,95.52778361847749,733.0196839699865,21780.334665012884,0.9773595786266488,0.1303208982071331,0.0043859649122806,0.1259349332948524,0.0087719298216981,0.0087719298245613,0.8740650667051476,10.0,10.0,1.0,20000.0,2000.0,10.0,11.400000000000013,114.0000000000001,12362.88294162434,1236.288294162434,1236.2882945659771,1.000000000326415,239598.51858692215,318.02993850838425,318.02993850838425,4.161582289839699,4.161582289839699,0.0808872820944636,1000.0,51.44915470122518,3931.7669017111425,31.174240409373645,31.174240409373652,2.5000000000000004e+16,0.8696791017928669,0.0043859649122806,0.8652931368805862,98.64341760438693,85136.54369259003,33.0,0,1,1,mechanical,119.79925929346108,11.97992592934611,pareto,closest,
2,0.2,in_window,9.0,253.9210711214098,2.032407022433264,0.03240702243326421,0.03240702243326421,4,thickness_grids_L9000mm.csv,60,50,31,2,2250,10,1.743624161073826,1.848624161073826,0.105,85.96034280859539,1,3.4931523575247394,85.96034280859539,28.50515915410559,2993.041711181086,3092.6898882092505,5154.483147015418,80.79198242919463,9.9006184237,28.50515917006028,93.3623284044294,749.9999962079984,19606.088964930168,0.9999999949439978,0.124483105168626,0.0047619047619047,0.1197212004067212,0.0092169471186814,0.0095238095238095,0.8802787995932787,10.0,10.0,1.0,22500.0,2250.0,10.0,10.499999999999998,105.0,11972.166844724346,1197.2166844724347,1237.0759552837003,1.0332932804297077,253921.0711214098,282.3546153314517,282.3546153314517,3.939847080120482,3.939847080120482,0.0835270684889143,1000.0,47.16850658590246,3380.396564126103,32.55809147988599,32.55809147988599,2.4999999999999996e+16,0.875516894831374,0.0047619047619047,0.8707549900694692,91.42927395729424,83660.52248296847,33.0,0,1,1,mechanical,112.85380938729324,11.285380938729324,pareto,closest,
2,0.2,in_window,10.0,265.0850579681723,2.067351830818702,0.06735183081870222,0.06735183081870222,4,thickness_grids_L10000mm.csv,56,48,29,2,2500,10,1.6375838926174495,1.7375838926174496,0.1,84.24749345710639,1,3.53712895637651,84.24749345710639,29.707907443533927,2970.790744353395,3085.930679883264,5143.21779980544,84.75652501989899,10.091412848904197,29.707907469454007,92.14231146984824,749.9999940193032,18428.462293969667,0.9999999920257376,0.1228564162728202,0.0049999999999999,0.1178564162728203,0.0096268874855794,0.0099999999999999,0.8821435837271797,10.0,10.0,1.0,25000.0,2500.0,10.0,10.000000000000009,100.00000000000009,11883.162977413582,1188.316297741358,1234.3722719533057,1.0387573361566165,265085.0579681723,258.98184445879576,258.98184445879576,3.6680496724573337,3.6680496724573337,0.0841526790384603,1000.0,43.58803206705901,3077.5234658950444,33.86892179875314,33.86892179875314,2.4999999999999996e+16,0.8771435837271797,0.0049999999999999,0.8721435837271797,87.21435837271804,83334.32853356091,33.0,0,1,1,mechanical,106.03402318726891,10.603402318726893,pareto,closest,
4,0.2,in_window,3.0,249.32933827498587,3.9660687141967466,-0.03393128580325344,0.03393128580325344,7,thickness_grids_L3000mm.csv,109,79,96,2,750,10,5.18993288590604,5.39193288590604,0.202,253.8601959537312,1,1.1987163103154237,253.8601959537312,17.31170902553272,3496.965223157609,3496.9652248149487,5828.275374691581,40.28830468557628,2.7896869032589033,17.389053468659554,138.47875982236738,729.1765788237559,55945.418968236416,0.9722354384316746,0.1899111461393196,0.0024752475247524,0.1874358986145671,0.0049504950471587,0.0049504950495049,0.8125641013854329,10.0,10.0,1.0,7500.0,750.0,10.0,20.199999999999996,201.99999999999991,13987.86089263044,1398.7860892630438,1398.7860899259797,1.0000000004739364,249329.33827498587,765.7318982005104,765.7318982005104,7.827158444266688,7.827158444266688,0.0714905593983175,1000.0,109.48520350298011,10710.95127307859,21.370136057334275,21.370136057334275,2.5e+16,0.8100888538606804,0.0024752475247524,0.8076136063359279,163.1379484798574,146226.2732175942,33.0,0,1,1,mechanical,332.4391176999812,33.243911769998114,pareto,closest,
4,0.2,in_window,4.0,200.882711456891,3.9403716148499575,-0.05962838515004254,0.05962838515004254,2,thickness_grids_L4000mm.csv,75,64,57,2,1000,10,3.1221476510067117,3.2721476510067116,0.15,122.49454230345066,1,2.203706422574117,122.49454230345066,22.042765827005873,3306.414874050879,3306.4148753235177,5510.691458872529,57.43870351270302,5.742384636695456,22.304568123239232,110.45469481222976,687.0795106314749,33136.408443668915,0.9161060141753,0.1607596982636173,0.0033333333333333,0.157426364930284,0.0066666666641006,0.0066666666666666,0.842573635069716,10.0,10.0,1.0,10000.0,1000.0,10.0,14.999999999999991,149.99999999999991,13225.659496203518,1322.5659496203518,1322.5659501294072,1.0000000003848997,200882.711456891,479.28941149186375,479.28941149186375,5.480158955925531,5.480158955925531,0.0756105962267555,1000.0,72.47871633614126,6338.918556527165,26.265142154636205,26.265142154636205,2.5e+16,0.8392403017363826,0.0033333333333333,0.8359069684030493,125.38604526045732,90633.3751017159,33.0,0,1,1,mechanical,200.882711456891,20.0882711456891,pareto,closest,
