row_i,col_j,schema,solenoid_length_m,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m,piece_length_m
0,0,2,9.0,2250,10,0.1,0.10300000000000001,0.003,0.2827433388230814,1,,0.2827433388230814,,,,,,1964.5818707738167,7.404415760055885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,1,2,9.0,2250,10,0.1530201342281874,0.1560201342281874,0.003,0.6620480935714139,1,,0.6620480935714139,,,,,,1596.8451743514388,6.016418481871599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,2,2,9.0,2250,10,0.20604026845637513,0.20904026845637513,0.003,1.2003187667553898,1,,1.2003187667553898,,,,,,1380.0111327519369,5.196995084403701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,3,2,9.0,2250,10,0.2590604026845629,0.2620604026845629,0.003,1.8975553583750073,1,,1.8975553583750073,,,,,,1232.9704157964193,4.640416474221109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,4,2,9.0,2250,10,0.3120805369127506,0.3150805369127506,0.003,2.7537578684302666,1,,2.7537578684302666,,,,,,1124.9126350236982,4.230561413725303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,5,2,9.0,2250,10,0.36510067114093925,0.36810067114093925,0.003,3.7689262969211863,1,,3.7689262969211863,,,,,,1041.2289901388738,3.912379293019868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,6,2,9.0,2250,10,0.418120805369127,0.421120805369127,0.003,4.943060643847731,1,,4.943060643847731,,,,,,973.9825278379113,3.6559669365759397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,7,2,9.0,2250,10,0.4711409395973156,0.4741409395973156,0.003,6.27616090920994,1,,6.27616090920994,,,,,,918.4405482604657,3.4434977219410943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,8,2,9.0,2250,10,0.5241610738255034,0.5271610738255034,0.003,7.7682270930077735,1,,7.7682270930077735,,,,,,871.5825192552838,3.2635975109900355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,9,2,9.0,2250,10,0.5771812080536911,0.5801812080536911,0.003,9.419259195241244,1,,9.419259195241244,,,,,,831.3778423377878,3.108622498212604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,none,,,
0,10,2,9.0,2250,10,0.6302013422818789,0.6332013422818789,0.003,11.229257215910357,1,0.9895097106053903,11.229257215910357,279055.71479340055,265.0491632330078,795.1474896990239,3539.7048433885598,5899.508072314266,796.4041757340009,2.973220725706242,279.0191111885829,83.07054914675207,498.4232930955026,498.4232948805128,0.6645643907940035,0.16666666726355217,0.16666666666666655,5.968856242599685e-10,0.07487888820110668,0.3333333333333331,0.9999999994031143,3.0,10.0,1.0,22500.0,2250.0,3.0,0.30000000000000027,3.0000000000000027,3180.589958796096,318.0589958796096,1415.881937355424,4.451633048264284,89304.67332790031,0.7860176975987752,0.7860176975987752,0.15539854676706152,0.15539854676706152,0.31440707948990565,1000.0,0.4942590574588215,2.4999999964186905,318.0589961074231,318.0589961074231,2.4999999999999996e+16,0.8333333327364478,0.16666666666666655,0.6666666660697813,1.9999999982093457,800.1698724448585,33.0,1,1,1,packing,89.3046733279003,39.69096592351125,3.969096592351125
0,11,2,9.0,2250,10,0.6832214765100666,0.6862214765100666,0.003,13.198221155015112,1,0.7444225230737881,13.198221155015112,508407.4507039529,199.73705140712227,599.2111542213672,3591.252458338051,5985.420763896752,765.6314756388166,2.853518217198594,219.91055560929644,51.04332695924215,306.2599597202215,306.2599617554531,0.40834661296029534,0.16666666777423955,0.16666666666666655,1.1075730055321031e-09,0.05561765810793374,0.3333333333333331,0.9999999988924271,2.0,10.0,1.0,22500.0,2250.0,2.0,0.30000000000000027,3.0000000000000027,2396.8446168854693,239.68446168854695,1436.5009833352206,5.993300413448796,96800.21821616318,1.0430379907576743,1.0430379907576743,0.36312016069507047,0.36312016069507047,0.4172151974120999,1000.0,0.8703426024445662,2.499999993354568,239.68446200710832,239.68446200710832,2.5000000000000004e+16,0.8333333322257604,0.16666666666666655,0.6666666655590939,1.9999999966772835,867.3299540640706,33.0,1,1,1,packing,96.80021821616317,43.022319207183635,4.302231920718364
0,12,2,9.0,2250,10,0.7362416107382543,0.7392416107382543,0.003,15.326151012555513,1,0.6567677546611677,15.326151012555513,509859.25377788197,176.53871444300466,529.6161433290143,3610.089489936015,6016.815816560025,738.2929258191824,2.7466325938893914,196.7945984198219,42.88286260889769,257.2971755678851,257.2971756533863,0.34306290075718016,0.16666666672205077,0.16666666666666655,5.5384224983967556e-11,0.04890147874038813,0.3333333333333331,0.9999999999446159,2.0,10.0,1.0,22500.0,2250.0,2.0,0.30000000000000027,3.0000000000000027,2118.464573316058,211.8464573316058,1444.035795974406,6.816426454156085,104295.76310442605,1.1800999795594505,1.1800999795594505,0.5259038945405312,0.5259038945405312,0.4720399918865238,1000.0,1.1141087695530596,2.499999999667699,211.8464573456851,211.8464573456851,2.5e+16,0.8333333332779492,0.16666666666666655,0.6666666666112827,1.99999999983385,934.4900373535468,33.0,1,1,1,packing,104.29576310442604,46.35367249085602,4.635367249085602
