length,row_i,col_j,ri,rebco_pancake_length,rebco_total_length,scan,slope_deg
1m,7,58,1.4747457627118643,771.2565236802997,192814.1309200749,1.86771610581511,29.960587956005465
2m,4,41,1.0454237288135593,456.8855469248855,228442.77346244274,1.3085138392717923,30.108767452182036
2m,5,52,1.3232203389830508,561.6758725100199,280837.93625500996,14.530466283079026,30.140731909091905
2m,5,53,1.3484745762711865,561.6758725100233,280837.93625501165,18.214202656548355,29.65883977472165
2m,12,59,1.5,1295.2081516060189,647604.0758030094,12.544249933605114,29.7179835312511
3m,4,41,1.0454237288135593,456.8855469248855,342664.16019366414,6.624351311313442,30.108767452181997
5m,3,30,0.7676271186440679,352.0952213397376,440119.026674672,2.142788463319808,29.746394458393212
6m,3,30,0.7676271186440679,352.0952213397376,528142.8320096064,4.44328615753995,29.746394458393244
7m,3,30,0.7676271186440679,352.0952213397376,616166.6373445408,8.231736160689378,29.746394458393198
8m,3,30,0.7676271186440679,352.0952213397376,704190.4426794752,14.042978473212692,29.74639445839318
