candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
0,thickness_grids_L10000mm.csv,87,32,149,10.0,1.5,1.5203573712895817,0.0203573712895815,70.68583470577035,70.68583470577035,4.902605319270308,1.0055235151553816,1284.8947827575737,1284.8947827575737,200.19482491125495,749.9999999999999,501607.3978881777,3212.2369568939334,True,0.1558063956658049,501.6073978881778,200.6429591552711,0.005523515155381631,0.005523515155381631,1.0,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,88,33,146,10.0,1.47,1.4915226341155805,0.0215226341155803,67.88667565142183,67.88667565142183,5.094291110901826,0.9868650143629422,1273.6799601360888,1273.6799601360888,196.4420693798455,750.0000000000001,514734.50974597805,3184.1999003402216,True,0.1542318914704886,514.734509745978,205.8938038983912,-0.013134985637057839,0.013134985637057839,1.0,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,86,32,148,10.0,1.49,1.5103573712895817,0.0203573712895815,69.746498502347,69.746498502347,4.920429176177162,1.0362263316362823,1283.8428531190104,1283.8428531190104,200.8117640454971,749.9999999999999,500230.9858976224,3209.607132797526,True,0.1564145982178724,500.2309858976224,200.09239435904897,0.036226331636282305,0.036226331636282305,1.0,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,89,33,147,10.0,1.48,1.5015226341155803,0.0215226341155803,68.81344548423083,68.81344548423083,5.075651097706371,0.9571864470037108,1274.7610984839712,1274.7610984839712,195.83019798164645,750.0,516158.4207104421,3186.902746209928,True,0.1536210967016019,516.1584207104421,206.46336828417685,-0.042813552996289195,0.042813552996289195,1.0,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,90,40,126,10.0,1.27,1.3006833926399712,0.0306833926399711,50.67074790974977,50.67074790974977,6.550929707158965,0.9567646545126274,1194.976742254183,1194.976742254183,175.42276723021558,750.0000000000002,606285.3811617411,2987.4418556354567,True,0.146800151858438,606.285381161741,242.51415246469645,-0.04323534548737262,0.04323534548737262,1.0,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,91,43,119,10.0,1.2,1.235147245619567,0.0351472456195666,45.23893421169302,45.23893421169302,7.2073460504374305,0.9529392492082926,1162.87611707786,1162.87611707786,167.95165355086013,750.0,647240.9375264184,2907.19029269465,True,0.144427812287433,647.2409375264184,258.89637501056734,-0.04706075079170735,0.04706075079170735,1.0,0.25,pareto,closest
6,thickness_grids_L10000mm.csv,92,48,109,10.0,1.1,1.1433040854015584,0.0433040854015584,38.01327110843649,38.01327110843649,8.33348711588008,0.9523210394488788,1111.985825075482,1111.985825075482,156.94620262239212,749.9999999999999,717905.3688558917,2779.9645626887054,True,0.1411404705736591,717.9053688558918,287.1621475423567,-0.0476789605511212,0.0476789605511212,1.0,0.25,pareto,closest
7,thickness_grids_L10000mm.csv,93,87,70,10.0,0.71,0.8476903743074635,0.1376903743074636,15.836768566746146,15.836768566746146,17.295861573047198,0.950350685565601,831.9620432177308,831.9620432177308,101.16892933496048,750.0000000000001,1365610.9175361616,2079.905108044327,True,0.1216028184935881,1365.6109175361617,546.2443670144646,-0.04964931443439902,0.04964931443439902,1.0,0.25,pareto,closest
8,thickness_grids_L10000mm.csv,85,32,147,10.0,1.48,1.5003573712895817,0.0203573712895815,68.81344548423083,68.81344548423083,4.938414195387883,1.0681039837545083,1282.7833230244937,1282.7833230244937,201.4351520391604,750.0,498850.7372294821,3206.958307561234,True,0.1570297558626073,498.8507372294821,199.54029489179285,0.06810398375450832,0.06810398375450832,1.0,0.25,pareto,closest
9,thickness_grids_L10000mm.csv,84,32,146,10.0,1.47,1.4903573712895817,0.0203573712895815,67.88667565142183,67.88667565142183,4.956563117589643,1.1012101985781049,1281.716077648486,1281.716077648486,202.06509832858023,749.9999999999999,497466.61002149706,3204.2901941212144,True,0.1576519962980421,497.46661002149705,198.98664400859883,0.10121019857810487,0.10121019857810487,1.0,0.25,pareto,closest
10,thickness_grids_L10000mm.csv,83,31,149,10.0,1.5,1.5192279627043828,0.0192279627043826,70.68583470577035,70.68583470577035,4.76658837379118,1.1253027037379582,1292.9848872572843,1292.9848872572843,206.06697423042675,750.0000000000001,484443.06580967834,3232.4622181432105,True,0.1593730725403463,484.44306580967833,193.77722632387133,0.12530270373795815,0.12530270373795815,1.0,0.25,pareto,closest
11,thickness_grids_L10000mm.csv,82,31,148,10.0,1.49,1.5092279627043828,0.0192279627043826,69.746498502347,69.746498502347,4.783929482169376,1.1596514810055607,1291.9472564367568,1291.9472564367568,206.70255300194268,749.9999999999998,483105.99470331543,3229.8681410918916,True,0.1599930275575155,483.10599470331545,193.24239788132616,0.1596514810055607,0.1596514810055607,1.0,0.25,pareto,closest
12,thickness_grids_L10000mm.csv,81,31,147,10.0,1.48,1.4992279627043827,0.0192279627043826,68.81344548423083,68.81344548423083,4.8014275315528545,1.195314177394199,1290.9020825714051,1290.9020825714051,207.3447803766134,750.0,481765.2097196255,3227.255206428513,True,0.1606200680717736,481.7652097196255,192.70608388785016,0.1953141773941991,0.1953141773941991,1.0,0.25,pareto,closest
13,thickness_grids_L10000mm.csv,80,31,146,10.0,1.47,1.4892279627043827,0.0192279627043826,67.88667565142183,67.88667565142183,4.81908519293976,1.232350860859972,1289.8492513591382,1289.8492513591382,207.99376926655063,749.9999999999999,480420.6703151117,3224.623128397845,True,0.1612543241370134,480.4206703151117,192.1682681260447,0.23235086085997203,0.23235086085997203,1.0,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,62,27,146,10.0,1.47,1.485068870771587,0.0150688707715868,67.88667565142183,67.88667565142183,4.2726290525239445,1.9943989259179329,1323.3288342688402,1323.3288342688402,235.2796050767503,750.0,414537.1380748131,3308.3220856721,True,0.1777937569135988,414.53713807481313,165.81485522992526,-0.0056010740820671145,0.0056010740820671145,2.0,0.25,pareto,closest
