candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
0,thickness_grids_L10000mm.csv,84,31,149,10.0,1.5,1.5192279627043828,0.0192279627043826,70.68583470577035,70.68583470577035,4.915543769537098,0.9949784844574816,1926.196488908364,1926.196488908364,212.5065459512472,750.0000000000002,335350.9368710235,3210.32748151394,True,0.1103244384334234,335.3509368710235,134.1403747484094,-0.0050215155425183955,0.0050215155425183955,1.0,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,85,32,146,10.0,1.47,1.4903573712895817,0.0203573712895815,67.88667565142183,67.88667565142183,5.109198111519526,0.9753979008379708,1909.2251774769811,1909.2251774769811,208.28759652443136,750.0000000000005,344247.4385196918,3182.041962461635,True,0.1090953539590762,344.2474385196918,137.69897540787673,-0.024602099162029156,0.024602099162029156,1.0,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,83,31,148,10.0,1.49,1.5092279627043828,0.0192279627043826,69.746498502347,69.746498502347,4.932011298979014,1.0265268482964602,1924.7404643124664,1924.7404643124664,213.10082657637628,749.9999999999994,334313.81802892714,3207.9007738541104,True,0.1107166553244869,334.31381802892713,133.72552721157086,0.026526848296460237,0.026526848296460237,1.0,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,86,33,143,10.0,1.44,1.4615226341155805,0.0215226341155803,65.14406526483795,65.14406526483795,5.307830270121688,0.9607792877417248,1892.1544527078563,1892.1544527078563,204.3451538509295,750.0,353124.4318163035,3153.5907545130945,True,0.1079960219729905,353.1244318163035,141.2497727265214,-0.03922071225827517,0.03922071225827517,1.0,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,87,34,140,10.0,1.41,1.4327237511823792,0.0227237511823791,62.45800354601867,62.45800354601867,5.5116422148867095,0.9508752230328332,1874.9825446567384,1874.9825446567384,200.662505824432,749.9999999999999,361978.10988220375,3124.9709077612306,True,0.1070209994201136,361.97810988220374,144.7912439528815,-0.04912477696716677,0.04912477696716677,1.0,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,88,111,52,10.0,0.5299999999999999,0.752880050448178,0.222880050448178,8.824733763933727,8.824733763933727,28.154526345162264,0.9506259260264422,967.9903325925115,967.9903325925115,101.35507368811012,749.9999999999998,1567582.278264193,1613.3172209875192,True,0.104706700341373,1567.5822782641933,627.0329113056773,-0.04937407397355775,0.04937407397355775,1.0,0.25,pareto,closest
6,thickness_grids_L10000mm.csv,82,31,147,10.0,1.48,1.4992279627043827,0.0192279627043826,68.81344548423083,68.81344548423083,4.94864544839159,1.0592981814075195,1923.2721539346255,1923.2721539346255,213.70223686925732,750.0000000000001,333275.9332861191,3205.4535898910426,True,0.1111138828855114,333.2759332861191,133.31037331444765,0.059298181407519523,0.059298181407519523,1.0,0.25,pareto,closest
7,thickness_grids_L10000mm.csv,81,31,146,10.0,1.47,1.4892279627043827,0.0192279627043826,67.88667565142183,67.88667565142183,4.965449046655663,1.0933486416039295,1921.791376164007,1921.791376164007,214.3108955259804,749.9999999999998,332237.25228591554,3202.985626940012,True,0.1115162125213381,332.23725228591553,132.89490091436622,0.09334864160392953,0.09334864160392953,1.0,0.25,pareto,closest
8,thickness_grids_L10000mm.csv,80,30,149,10.0,1.5,1.5181344083599837,0.0181344083599837,70.68583470577035,70.68583470577035,4.7737165429431245,1.1185964827293986,1938.837212638071,1938.837212638071,218.8134899415512,750.0000000000002,323424.8134338501,3231.395354396785,True,0.1128581030502419,323.42481343385015,129.36992537354004,0.1185964827293986,0.1185964827293986,1.0,0.25,pareto,closest
9,thickness_grids_L10000mm.csv,79,30,148,10.0,1.49,1.5081344083599837,0.0181344083599837,69.746498502347,69.746498502347,4.789708937966736,1.1540644746281263,1937.4027591440893,1937.4027591440893,219.4254447639232,749.9999999999999,322418.6725336551,3229.0045985734823,True,0.1132575267214244,322.41867253365507,128.96746901346202,0.15406447462812634,0.15406447462812634,1.0,0.25,pareto,closest
