target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,v_bore,b0,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,pancake_length_m,search_pool,pick_rule,note
1.0,0.25,outside_window,1.0,1022.892031864922,4.953288027950069,3.9532880279500686,3.9532880279500686,0,thickness_grids_L1000mm.csv,32,149,149,1.5,1.9,0.4,7.0685834705770345,7.0685834705770345,22.419964865591712,1096.3213609512627,1096.3213609512627,157.48171690956696,750.0,1022892.031864922,1827.202268252105,True,0.1436455792240719,4091.568127459688,pareto,closest,no design within +/-0.25 yr; nearest is 4.953 yr at 1022.9 km
1.0,0.25,in_window,5.0,403.2129866002215,0.985368827847956,-0.014631172152044014,0.014631172152044014,14,thickness_grids_L5000mm.csv,91,58,148,1.49,1.5523068330255394,0.0623068330255393,34.8732492511735,34.8732492511735,8.878206986164876,1633.6163258691652,1633.6163258691652,132.73249548949232,750.0000000000002,403212.9866002215,2722.6938764486085,True,0.0812507155980288,322.5703892801772,pareto,closest,
1.0,0.25,in_window,10.0,335.3509368710235,0.9949784844574816,-0.0050215155425183955,0.0050215155425183955,12,thickness_grids_L10000mm.csv,84,31,149,1.5,1.5192279627043828,0.0192279627043826,70.68583470577035,70.68583470577035,4.915543769537098,1926.196488908364,1926.196488908364,212.5065459512472,750.0000000000002,335350.9368710235,3210.32748151394,True,0.1103244384334234,134.1403747484094,pareto,closest,
2.0,0.25,outside_window,1.0,1022.892031864922,4.953288027950069,2.9532880279500686,2.9532880279500686,0,thickness_grids_L1000mm.csv,32,149,149,1.5,1.9,0.4,7.0685834705770345,7.0685834705770345,22.419964865591712,1096.3213609512627,1096.3213609512627,157.48171690956696,750.0,1022892.031864922,1827.202268252105,True,0.1436455792240719,4091.568127459688,pareto,closest,no design within +/-0.25 yr; nearest is 4.953 yr at 1022.9 km
2.0,0.25,in_window,5.0,316.0646085724174,1.9772237091204063,-0.022776290879593653,0.022776290879593653,9,thickness_grids_L5000mm.csv,62,48,149,1.5,1.5433040854015585,0.0433040854015584,35.34291735288517,35.34291735288517,7.376823071430174,1732.338700843614,1732.3387008436143,158.69594500409715,750.0000000000003,316064.6085724174,2887.2311680726907,True,0.0916079199332182,252.8516868579339,pareto,closest,
2.0,0.25,in_window,10.0,274.88379874763393,2.02784024147191,0.027840241471909888,0.027840241471909888,10,thickness_grids_L10000mm.csv,59,26,146,1.47,1.4841187333903878,0.0141187333903878,67.88667565142183,67.88667565142183,4.254903970102019,1986.6701327942692,1986.6701327942692,250.06482134033175,749.9999999999999,274883.79874763393,3311.116887990449,True,0.1258713347588375,109.95351949905356,pareto,closest,
3.0,0.25,outside_window,1.0,1022.892031864922,4.953288027950069,1.9532880279500686,1.9532880279500686,0,thickness_grids_L1000mm.csv,32,149,149,1.5,1.9,0.4,7.0685834705770345,7.0685834705770345,22.419964865591712,1096.3213609512627,1096.3213609512627,157.48171690956696,750.0,1022892.031864922,1827.202268252105,True,0.1436455792240719,4091.568127459688,pareto,closest,no design within +/-0.25 yr; nearest is 4.953 yr at 1022.9 km
3.0,0.25,in_window,5.0,275.35497001380634,3.0014489278914773,0.0014489278914773251,0.0014489278914773251,6,thickness_grids_L5000mm.csv,47,43,149,1.5,1.5351472456195667,0.0351472456195666,35.34291735288517,35.34291735288517,6.645850694451295,1785.3224739422903,1785.3224739422906,176.0231966049457,750.0000000000003,275354.97001380636,2975.537456570484,True,0.0985946231978232,220.2839760110451,pareto,closest,
3.0,0.25,in_window,10.0,243.52434124632177,2.9698892305569693,-0.030110769443030705,0.030110769443030705,6,thickness_grids_L10000mm.csv,45,23,147,1.48,1.4914834466915905,0.0114834466915904,68.81344548423083,68.81344548423083,3.8243341637850583,2028.3800926373565,2028.3800926373565,276.46968679702894,750.0,243524.34124632177,3380.633487728928,True,0.1363007297303708,97.4097364985287,pareto,closest,
4.0,0.25,outside_window,1.0,1022.892031864922,4.953288027950069,0.9532880279500686,0.9532880279500686,0,thickness_grids_L1000mm.csv,32,149,149,1.5,1.9,0.4,7.0685834705770345,7.0685834705770345,22.419964865591712,1096.3213609512627,1096.3213609512627,157.48171690956696,750.0,1022892.031864922,1827.202268252105,True,0.1436455792240719,4091.568127459688,pareto,closest,no design within +/-0.25 yr; nearest is 4.953 yr at 1022.9 km
4.0,0.25,in_window,5.0,252.085103876588,3.9382818643511217,-0.06171813564887829,0.06171813564887829,4,thickness_grids_L5000mm.csv,38,40,149,1.5,1.5306833926399712,0.0306833926399711,35.34291735288517,35.34291735288517,6.2094998479730945,1818.6838464466791,1818.6838464466791,188.31799399165757,750.0,252085.103876588,3031.1397440777987,True,0.1035463059506416,201.6680831012704,pareto,closest,
4.0,0.25,in_window,10.0,223.037004168879,3.9911714914693057,-0.008828508530694279,0.008828508530694279,3,thickness_grids_L10000mm.csv,35,21,147,1.48,1.489905860096392,0.009905860096392,68.81344548423083,68.81344548423083,3.5519414546349557,2055.7741826355527,2055.7741826355527,297.65887436862096,750.0000000000003,223037.004168879,3426.290304392588,True,0.1447916200538208,89.2148016675516,pareto,closest,
